asset,row,tf,tp,conf,rr,sess,pf,win,trades_wk,c5374,c12654,cMNQ,is_pass,oos_pass,oos_days,risk,capped
MGC,7068,5min,opposite_level,break_of_structure,3.0,03:00-12:30,4.46,71.9,4.8,0.04,0.08,-0.03,97.9,98.4,12,500,0.1
MGC,14245,5min,reversal_to_open,reversal_cross_back,2.0,03:00-13:00,4.99,65.2,8.1,0.05,0.03,-0.05,95.7,96.8,16,500,1.3
MGC,4104,5min,reversal_to_open,immediate_break,2.0,05:00-10:30,5.94,71.6,7.4,0.11,0.01,0.06,95.7,99.2,17,500,0.5
MGC,9488,3min,opposite_level,reversal_cross_back,4.0,03:00-11:30,4.95,57.7,3.9,0.02,0.05,-0.01,95.7,92.8,22,500,16.4
MGC,11056,5min,opposite_level,reversal_cross_back,1.25,03:00-11:30,4.24,64.6,9.5,0.05,0.04,-0.02,95.2,96.0,16,500,5.8
MGC,9163,5min,opposite_level,reversal_cross_back,4.0,03:00-10:30,4.86,71.2,6.7,0.04,0.1,-0.03,95.2,98.4,15,500,0.2
MGC,10720,5min,reversal_to_open,reversal_cross_back,1.0,03:00-10:30,4.46,59.6,10.7,0.05,0.03,-0.06,94.1,95.2,16,500,4.8
MGC,21601,5min,opposite_level,immediate_break,1.0,03:00-10:30,5.01,60.9,4.9,0.02,0.05,-0.03,94.1,96.8,12,500,4.7
MGC,12219,3min,opposite_level,immediate_break,3.0,03:00-11:30,4.85,57.4,4.9,0.02,0.05,-0.04,94.1,95.2,12,500,3.9
MGC,15476,3min,reversal_to_open,reversal_cross_back,3.0,03:00-16:00,4.82,65.8,6.4,0.04,-0.02,0.01,98.4,95.2,19,500,1.1
MGC,3137,5min,reversal_to_open,reversal_cross_back,2.5,03:00-11:30,4.78,61.8,6.9,0.04,0.02,-0.05,97.3,95.2,18,500,1.9
MGC,21815,5min,reversal_to_open,immediate_break,4.0,05:00-14:00,4.11,65.3,4.9,0.11,0.05,0.01,96.8,96.8,22,500,0.8
MGC,6524,5min,reversal_to_open,reversal_cross_back,2.0,03:00-14:00,3.94,61.0,8.1,0.05,0.02,-0.03,93.1,95.2,16,500,0.5
MGC,22471,5min,reversal_to_open,break_of_structure,4.0,03:00-11:00,5.37,68.4,4.8,0.09,0.07,-0.0,100.0,99.2,17,500,0.1
MGC,21425,5min,opposite_level,reversal_cross_back,1.5,03:00-13:00,4.79,62.8,7.8,0.01,0.02,0.03,92.6,92.8,16,500,9.4
MGC,7420,5min,opposite_level,immediate_break,4.0,03:00-10:30,5.67,51.9,3.9,-0.0,0.01,0.01,96.3,91.2,17,500,30.1
MGC,11629,5min,opposite_level,reversal_cross_back,2.5,03:00-11:00,4.34,66.4,4.2,0.04,0.04,-0.03,97.3,94.4,17,500,0.1
