MNQ risk,6E risk,day_stop,OOS pass%,OOS days,OOS p90,full pass%,full days,funded E$ (5 cap),reach 5 payouts%,days to 5th,funded breach%,12m E$ uncapped
0,250,-,98.4,10,17,99.4,10,11875,100.0,47,0.0,90113
0,250,500,98.4,11,17,99.4,10,11875,100.0,47,0.0,86797
0,250,750,98.4,10,17,99.4,10,11875,100.0,47,0.0,89273
0,250,1000,98.4,10,17,99.4,10,11875,100.0,47,0.0,90058
0,375,-,98.4,10,17,99.0,10,11829,99.6,45,0.4,92862
0,375,500,96.8,10,17,98.7,10,11784,99.2,46,0.8,88204
0,375,750,98.4,10,17,99.4,10,11875,100.0,45,0.0,91392
0,375,1000,98.4,10,17,98.7,10,11784,99.2,45,0.8,92132
0,500,-,98.4,10,16,99.0,9,11793,99.2,44,0.8,93940
0,500,500,96.8,10,17,98.4,10,11738,98.8,47,1.2,86688
0,500,750,98.4,10,17,99.4,9,11875,100.0,45,0.0,92415
0,500,1000,98.4,10,16,99.0,9,11793,99.2,45,0.8,93173
0,750,-,98.4,9,16,98.7,9,11784,99.2,44,0.8,93794
0,750,500,96.8,10,17,97.8,10,11610,97.7,47,2.3,84477
0,750,750,98.4,10,17,99.0,9,11829,99.6,45,0.4,90159
0,750,1000,98.4,9,17,98.4,9,11738,98.8,44,1.2,92406
250,0,-,96.8,22,33,98.1,23,11775,98.8,87,1.2,56726
250,0,500,96.8,22,33,98.1,23,11775,98.8,87,1.2,56726
250,0,750,96.8,22,33,98.1,23,11775,98.8,87,1.2,56726
250,0,1000,96.8,22,33,98.1,23,11775,98.8,87,1.2,56726
250,250,-,99.2,9,12,99.4,9,11829,99.6,44,0.4,95575
250,250,500,97.6,9,12,99.0,9,11784,99.2,45,0.8,90597
250,250,750,98.4,9,12,99.4,9,11829,99.6,44,0.4,94415
250,250,1000,98.4,9,12,99.4,9,11829,99.6,44,0.4,95384
250,375,-,99.2,8,12,99.0,8,11784,99.2,43,0.8,96717
250,375,500,97.6,9,12,98.4,9,11692,98.5,45,1.5,90433
250,375,750,97.6,8,12,98.7,9,11738,98.8,44,1.2,93803
250,375,1000,99.2,8,12,99.7,8,11875,100.0,44,0.0,96946
250,500,-,98.4,8,12,99.0,8,11784,99.2,43,0.8,97539
250,500,500,97.6,8,15,98.7,9,11738,98.8,46,1.2,89556
250,500,750,99.2,8,12,99.4,8,11829,99.6,44,0.4,95055
250,500,1000,99.2,8,12,99.7,8,11875,100.0,43,0.0,97192
250,750,-,98.4,8,11,98.7,8,11738,98.8,43,1.2,97923
250,750,500,97.6,9,15,98.7,9,11738,98.8,46,1.2,88889
250,750,750,99.2,8,12,99.7,8,11875,100.0,44,0.0,94571
250,750,1000,99.2,8,12,99.0,8,11784,99.2,43,0.8,96873
375,0,-,96.0,12,24,93.6,15,10898,91.2,68,8.8,60727
375,0,500,96.0,12,24,93.6,15,10898,91.2,68,8.8,60727
375,0,750,96.0,12,24,93.6,15,10898,91.2,68,8.8,60727
375,0,1000,96.0,12,24,93.6,15,10898,91.2,68,8.8,60727
375,250,-,98.4,8,11,98.7,8,11738,98.8,44,1.2,94013
375,250,500,98.4,8,12,99.4,9,11829,99.6,46,0.4,89437
375,250,750,98.4,8,11,99.4,8,11829,99.6,45,0.4,92926
375,250,1000,98.4,8,11,99.4,8,11829,99.6,44,0.4,94434
375,375,-,98.4,8,12,98.7,8,11738,98.8,43,1.2,95996
375,375,500,98.4,8,12,98.7,8,11738,98.8,46,1.2,89912
375,375,750,98.4,8,12,98.4,8,11692,98.5,44,1.5,92378
375,375,1000,99.2,8,12,99.4,8,11829,99.6,43,0.4,96197
375,500,-,98.4,8,11,99.0,8,11784,99.2,43,0.8,97110
375,500,500,98.4,8,12,99.4,9,11829,99.6,46,0.4,89200
375,500,750,99.2,8,12,98.7,8,11738,98.8,44,1.2,93301
375,500,1000,99.2,8,12,99.4,8,11829,99.6,43,0.4,96261
375,750,-,98.4,8,11,99.0,8,11784,99.2,40,0.8,97731
375,750,500,97.6,8,12,98.7,9,11738,98.8,47,1.2,87409
375,750,750,99.2,8,12,99.0,8,11784,99.2,45,0.8,92223
375,750,1000,99.2,8,12,98.7,8,11738,98.8,43,1.2,95694
500,0,-,88.8,9,19,86.9,9,9838,81.9,64,18.1,55721
500,0,500,91.2,9,19,89.4,10,10176,85.0,66,15.0,54716
500,0,750,88.8,9,19,86.9,9,9838,81.9,64,18.1,55721
500,0,1000,88.8,9,19,86.9,9,9838,81.9,64,18.1,55721
500,250,-,96.8,8,12,97.4,8,11601,97.7,44,2.3,91556
500,250,500,98.4,8,12,98.7,9,11738,98.8,47,1.2,87245
500,250,750,97.6,8,12,98.1,8,11647,98.1,45,1.9,89903
500,250,1000,96.8,8,12,97.4,8,11601,97.7,45,2.3,90615
500,375,-,96.8,8,12,98.1,8,11692,98.5,43,1.5,94699
500,375,500,98.4,8,12,97.8,9,11601,97.7,47,2.3,87300
500,375,750,98.4,8,12,98.4,8,11692,98.5,45,1.5,91182
500,375,1000,97.6,8,12,98.4,8,11738,98.8,44,1.2,94251
500,500,-,96.8,8,11,98.4,8,11738,98.8,43,1.2,96105
500,500,500,98.4,8,12,98.7,9,11738,98.8,47,1.2,87391
500,500,750,99.2,8,12,98.7,8,11738,98.8,45,1.2,92972
500,500,1000,97.6,8,12,98.4,8,11738,98.8,44,1.2,94434
500,750,-,96.8,8,11,97.4,8,11647,98.1,43,1.9,96398
500,750,500,98.4,8,15,98.7,9,11738,98.8,47,1.2,86669
500,750,750,97.6,8,12,97.8,8,11647,98.1,45,1.9,90999
500,750,1000,97.6,8,12,97.8,8,11692,98.5,43,1.5,94790
750,0,-,80.8,9,15,77.6,9,8696,72.3,64,27.7,49437
750,0,500,82.4,9,17,78.8,9,8915,74.6,66,25.4,47920
750,0,750,82.4,9,17,78.5,9,8870,74.2,66,25.8,47993
750,0,1000,80.8,9,15,77.6,9,8696,72.3,64,27.7,49437
750,250,-,91.2,8,15,92.6,8,11053,93.1,45,6.9,85600
750,250,500,95.2,8,15,94.9,9,11373,95.8,47,4.2,82513
750,250,750,92.8,8,15,94.6,8,11327,95.4,46,4.6,85637
750,250,1000,92.8,8,15,94.2,8,11236,94.6,45,5.4,86085
750,375,-,92.0,8,12,92.3,8,11007,92.7,44,7.3,87437
750,375,500,95.2,8,15,95.2,9,11418,96.2,47,3.8,83911
750,375,750,95.2,8,15,95.2,8,11418,96.2,46,3.8,86624
750,375,1000,93.6,8,12,94.9,8,11327,95.4,45,4.6,88688
750,500,-,92.8,8,12,93.6,8,11190,94.2,44,5.8,89446
750,500,500,95.2,9,15,96.2,9,11510,96.9,47,3.1,83828
750,500,750,96.0,8,12,96.2,8,11510,96.9,46,3.1,88524
750,500,1000,94.4,8,12,95.5,8,11418,96.2,45,3.8,89720
750,750,-,92.0,8,12,92.6,8,11053,93.1,43,6.9,89757
750,750,500,96.0,8,15,96.8,9,11601,97.7,50,2.3,84367
750,750,750,95.2,8,15,95.8,8,11464,96.5,46,3.5,87793
750,750,1000,94.4,8,12,95.2,8,11373,95.8,44,4.2,90478
