legs,stop,OOS pass%,OOS days,OOS p90,full pass%,full days,funded E$ (5 cap),reach 5 payouts%,days to 5th,funded breach%,12m E$ uncapped
6E#5374 $500,-,98.4,10,16,99.0,9,11793,99.2,44,0.8,93940
6E#5374 $500,1000,98.4,10,16,99.0,9,11793,99.2,45,0.8,93173
6E#12654 $500,-,98.4,15,29,99.4,17,11875,100.0,68,0.0,61420
6E#12654 $500,1000,98.4,15,29,99.4,17,11875,100.0,68,0.0,61420
6E#41779 $500,-,92.8,22,37,95.5,17,11426,96.1,72,3.9,54680
6E#41779 $500,1000,94.4,23,37,96.2,17,11517,96.9,73,3.1,55019
6E#15379 $500,-,96.8,16,25,97.8,15,11738,98.8,65,1.2,63888
6E#15379 $500,1000,96.8,16,25,97.8,15,11738,98.8,65,1.2,63888
6E#5374 $375 + 6E#12654 $375,-,98.4,9,12,99.0,9,11829,99.6,43,0.4,96818
6E#5374 $375 + 6E#12654 $375,1000,98.4,9,15,98.7,9,11784,99.2,44,0.8,95448
6E#5374 $250 + 6E#12654 $250,-,98.4,9,15,99.0,9,11829,99.6,44,0.4,95585
6E#5374 $250 + 6E#12654 $250,1000,98.4,9,15,99.0,9,11829,99.6,44,0.4,95457
6E#5374 $375 + 6E#41779 $375,-,98.4,9,12,98.7,9,11784,99.2,43,0.8,96516
6E#5374 $375 + 6E#41779 $375,1000,98.4,9,15,98.4,9,11738,98.8,44,1.2,95320
6E#5374 $375 + 6E#15379 $375,-,97.6,9,12,98.4,8,11701,98.5,43,1.5,97503
6E#5374 $375 + 6E#15379 $375,1000,98.4,9,12,99.0,9,11829,99.6,43,0.4,97896
6E#5374 $500 + MNQ#362 $250,-,98.4,8,12,99.0,8,11784,99.2,40,0.8,97813
6E#5374 $500 + MNQ#362 $250,1000,99.2,8,12,99.7,8,11875,100.0,43,0.0,97393
6E#5374 $375 + 6E#12654 $250 + MNQ#362 $250,-,99.2,8,11,99.4,8,11829,99.6,40,0.4,99988
6E#5374 $375 + 6E#12654 $250 + MNQ#362 $250,1000,99.2,8,11,99.4,8,11829,99.6,43,0.4,99074
