row,tf,tp,conf,rr,sess,lv,pf,corr,same_trades,is_pass,oos_pass,oos_days,risk,capped
16110,3min,opposite_level,close_beyond,2.0,05:00-14:00,S2,4.02,0.15,0.3,90.4,78.6,17,500,57.4
11904,5min,opposite_level,immediate_break,2.5,03:00-10:30,S2,5.48,0.15,0.57,96.8,92.1,12,500,81.2
21383,5min,opposite_level,immediate_break,1.25,03:00-16:00,S,6.3,0.16,0.64,99.5,96.8,15,750,74.8
22882,5min,opposite_level,close_beyond,2.5,03:00-12:30,S,4.97,0.17,0.62,98.9,96.0,16,500,64.4
15135,5min,opposite_level,close_beyond,1.0,03:00-14:00,S2,4.98,0.18,0.58,95.2,92.9,12,500,57.0
41779,5min,opposite_level,reversal_cross_back,1.5,05:00-10:30,S2,3.65,0.19,0.31,95.2,92.1,22,500,34.8
36345,5min,opposite_level,close_beyond,2.5,03:00-10:30,S2,3.93,0.2,0.67,92.0,88.9,12,500,87.9
29927,3min,opposite_level,close_beyond,2.0,03:00-10:30,S2,4.93,0.2,0.58,99.5,97.6,12,500,60.0
23698,5min,opposite_level,close_beyond,2.0,05:00-16:00,S2,4.74,0.21,0.34,92.5,89.7,12,500,33.7
36450,3min,opposite_level,reversal_cross_back,2.5,03:00-10:30,S,4.33,0.21,0.65,99.5,98.4,16,500,71.9
28066,5min,fixed_rr,close_beyond,4.0,05:00-14:00,S,3.25,0.22,0.31,90.4,81.0,16,500,46.2
40821,5min,opposite_level,close_beyond,2.0,03:00-16:00,S,3.98,0.22,0.72,90.4,87.3,15,500,74.8
36746,3min,opposite_level,reversal_cross_back,1.0,03:00-13:00,S2,5.07,0.24,0.62,100.0,97.6,18,500,36.4
36878,5min,opposite_level,immediate_break,4.0,03:00-13:00,S,3.78,0.24,0.69,90.9,91.3,10,500,56.7
14551,5min,reversal_to_open,immediate_break,1.25,03:00-14:00,S2,5.05,0.24,0.64,97.3,97.6,12,500,80.3
12654,5min,opposite_level,break_of_structure,1.5,03:00-11:00,S,6.54,0.24,0.3,98.9,96.0,15,500,18.4
3743,5min,fixed_rr,close_beyond,3.0,05:00-10:30,S2,4.09,0.24,0.36,90.4,81.7,11,500,35.2
14313,5min,reversal_to_open,close_beyond,1.5,03:00-13:00,S,5.18,0.25,0.59,95.2,95.2,15,750,89.5
