,MNQ#362,6E#38431,6E#5374,6E#12654,MGC#7068,MGC#4104,MGC#22471,MGC#9163,MGC#16609,MCL#8044,MCL#16931,MCL#15549,MCL#11854,6J#9981,6J#969,6J#7271,6J#1053
MNQ#362,1.0,0.02,0.04,-0.05,-0.03,0.06,-0.0,-0.03,-0.03,0.04,0.05,0.1,0.01,-0.04,-0.05,-0.01,-0.05
6E#38431,0.02,1.0,0.43,0.42,0.09,0.06,0.09,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.07,0.06,0.05
6E#5374,0.04,0.43,1.0,0.23,0.04,0.11,0.09,0.04,0.04,-0.02,-0.02,-0.03,0.0,0.07,0.15,0.15,0.08
6E#12654,-0.05,0.42,0.23,1.0,0.09,0.01,0.07,0.1,0.01,0.01,0.01,0.01,0.02,0.05,0.04,0.05,0.03
MGC#7068,-0.03,0.09,0.04,0.09,1.0,0.15,0.64,0.36,0.23,0.04,0.05,0.06,0.01,0.05,0.02,0.07,0.04
MGC#4104,0.06,0.06,0.11,0.01,0.15,1.0,0.27,0.07,0.17,-0.0,-0.01,0.06,-0.03,0.07,0.03,0.11,0.03
MGC#22471,-0.0,0.09,0.09,0.07,0.64,0.27,1.0,0.36,0.33,0.01,0.03,0.05,0.03,0.02,0.05,0.12,0.03
MGC#9163,-0.03,0.02,0.04,0.1,0.36,0.07,0.36,1.0,0.36,-0.01,-0.0,-0.01,-0.0,0.02,0.03,0.03,-0.01
MGC#16609,-0.03,0.04,0.04,0.01,0.23,0.17,0.33,0.36,1.0,-0.05,-0.05,-0.03,-0.02,0.06,0.16,0.06,0.15
MCL#8044,0.04,0.02,-0.02,0.01,0.04,-0.0,0.01,-0.01,-0.05,1.0,0.86,0.58,0.3,-0.01,0.04,0.01,-0.01
MCL#16931,0.05,0.04,-0.02,0.01,0.05,-0.01,0.03,-0.0,-0.05,0.86,1.0,0.68,0.37,-0.01,0.03,0.02,-0.01
MCL#15549,0.1,0.04,-0.03,0.01,0.06,0.06,0.05,-0.01,-0.03,0.58,0.68,1.0,0.29,0.04,0.01,0.0,0.0
MCL#11854,0.01,0.04,0.0,0.02,0.01,-0.03,0.03,-0.0,-0.02,0.3,0.37,0.29,1.0,0.01,0.05,0.03,-0.0
6J#9981,-0.04,0.02,0.07,0.05,0.05,0.07,0.02,0.02,0.06,-0.01,-0.01,0.04,0.01,1.0,0.55,0.52,0.52
6J#969,-0.05,0.07,0.15,0.04,0.02,0.03,0.05,0.03,0.16,0.04,0.03,0.01,0.05,0.55,1.0,0.55,0.53
6J#7271,-0.01,0.06,0.15,0.05,0.07,0.11,0.12,0.03,0.06,0.01,0.02,0.0,0.03,0.52,0.55,1.0,0.58
6J#1053,-0.05,0.05,0.08,0.03,0.04,0.03,0.03,-0.01,0.15,-0.01,-0.01,0.0,-0.0,0.52,0.53,0.58,1.0
