risk,stop,median actual risk$,capped%,OOS pass%,OOS days,OOS p90,full pass%,full days,funded E$ (5 cap),reach 5 payouts%,days to 5th,funded breach%,12m E$ uncapped
500,-,466,30.0,98.4,10,16,99.0,9,11793,99.2,44,0.8,93940
500,1000,466,30.0,98.4,10,16,99.0,9,11793,99.2,45,0.8,93173
750,-,627,54.0,98.4,9,16,98.7,9,11784,99.2,44,0.8,93794
750,1000,627,54.0,98.4,9,17,98.4,9,11738,98.8,44,1.2,92406
1000,-,641,72.3,98.4,9,16,98.7,9,11784,99.2,44,0.8,94242
1000,1000,641,72.3,98.4,9,17,98.4,9,11738,98.8,45,1.2,92397
1250,-,641,84.1,98.4,9,16,99.0,9,11829,99.6,44,0.4,94625
1250,1000,641,84.1,98.4,9,17,98.4,9,11738,98.8,45,1.2,92205
1500,-,641,90.8,98.4,9,16,99.0,9,11829,99.6,44,0.4,95000
1500,1000,641,90.8,98.4,9,17,98.4,9,11738,98.8,44,1.2,92534
