6E#12654,MNQ#362,stop,OOS pass%,OOS days,OOS p90,full pass%,full days,funded E$ (5 cap),reach 5 payouts%,days to 5th,funded breach%,12m E$ uncapped
375,250,-,99.2,10,17,99.0,11,11784,99.2,51,0.8,84650
375,250,1000,99.2,10,17,99.0,11,11784,99.2,51,0.8,84650
375,375,-,98.4,9,16,97.4,10,11537,96.9,47,3.1,84568
375,375,1000,98.4,9,16,97.4,10,11537,96.9,47,3.1,84568
500,250,-,99.2,10,18,99.4,11,11829,99.6,50,0.4,85975
500,250,1000,99.2,10,18,99.4,11,11829,99.6,50,0.4,85975
500,375,-,98.4,9,16,98.7,9,11784,99.2,47,0.8,87720
500,375,1000,98.4,9,16,98.7,9,11784,99.2,47,0.8,87720
750,250,-,99.2,10,18,99.0,10,11747,98.8,47,1.2,85564
750,250,1000,99.2,10,18,99.0,10,11784,99.2,50,0.8,85893
750,375,-,97.6,9,16,97.8,9,11656,98.1,46,1.9,88231
750,375,1000,97.6,9,16,97.8,10,11692,98.5,46,1.5,88496
