asset,tf,local_rank,score,min_pf,n_trades,gate2_verdict,pf_is,pf_oos,degradation,plateau_verdict,plateau_frac_healthy,n_cohorts,overall_pass_pct,overall_fail_pct,worst_window_pass_pct,worst_window_start,worst_window_n,fail_reasons,note
GBPUSD,3min,7,42.7957,6.946,473,PASS,6.936,7.652,1.121,PASS,1.0,313,99.0,1.0,96.2,2022-02-14,53,"{'daily_loss': 1, 'max_loss': 2}",
GER40,5min,0,59.8197,9.542,527,PASS,7.734,9.553,1.27,PASS,1.0,313,97.4,2.6,90.6,2022-06-20,53,{'daily_loss': 8},
EURUSD,3min,2,51.2706,7.972,620,PASS,4.97,6.13,1.292,PASS,1.0,313,95.8,4.2,86.8,2020-09-21,53,"{'max_loss': 8, 'daily_loss': 5}",
SPX500,5min,5,40.7453,8.121,150,PASS,7.636,6.774,0.87,PASS,0.913,313,94.9,1.3,86.8,2025-06-02,53,{'daily_loss': 4},
XAUUSD,3min,3,33.5959,5.237,610,PASS,3.775,6.392,1.943,PASS,1.0,313,97.4,2.6,86.8,2022-09-05,53,"{'max_loss': 5, 'daily_loss': 3}",
XAUUSD,3min,7,30.6991,6.297,130,PASS,3.744,7.19,2.256,PASS,1.0,313,93.6,6.4,86.8,2021-04-05,53,{'daily_loss': 20},
GER40,3min,6,50.9187,8.231,485,PASS,8.45,8.453,1.0,PASS,1.0,313,94.9,4.5,84.9,2022-11-21,53,"{'daily_loss': 13, 'max_loss': 1}",
SPX500,3min,1,41.302,6.258,734,PASS,5.581,5.865,1.062,PASS,1.0,314,93.6,5.1,84.9,2023-05-22,53,"{'daily_loss': 10, 'max_loss': 6}",
GER40,5min,6,51.2959,7.966,625,PASS,8.769,8.779,1.001,PASS,1.0,313,91.4,8.6,83.0,2021-04-05,53,{'daily_loss': 27},
XAUUSD,5min,6,34.925,5.215,809,PASS,3.612,4.901,1.493,PASS,1.0,313,93.6,5.8,83.0,2021-06-14,53,"{'daily_loss': 17, 'max_loss': 1}",
EURUSD,5min,6,48.1073,7.746,497,PASS,5.235,8.356,1.737,PASS,1.0,313,88.8,11.2,81.1,2021-02-15,53,"{'daily_loss': 33, 'max_loss': 2}",
XAUUSD,5min,5,37.3382,5.843,595,PASS,4.273,7.936,2.119,PASS,1.0,313,94.6,5.4,79.2,2022-09-05,53,{'daily_loss': 17},
GER40,5min,8,47.613,7.185,754,PASS,7.076,7.912,1.138,PASS,1.0,313,87.5,12.5,77.4,2022-05-09,53,{'daily_loss': 39},
GER40,3min,2,58.6097,8.933,706,PASS,8.594,9.461,1.114,PASS,1.0,313,87.2,12.8,75.5,2021-04-12,53,{'daily_loss': 40},
GBPUSD,5min,1,56.2754,7.736,1442,PASS,6.66,6.835,1.031,PASS,1.0,313,87.9,12.1,73.6,2021-05-03,53,{'daily_loss': 38},
