size,assets,labels,avg_pairwise_corr,risk_multiplier_k,pass_pct,still_going_pct,median_days_to_pass,n_cohorts,per_asset_risk_pct,margin_cap_frac,n_trades_total,n_trades_rejected,pct_trades_rejected
2,GER40+NDX100,GER40/3min ss=180 (local_rank=9) | NDX100/3min ss=180 (local_rank=0),0.08,0.1149,50.2,0.6,11,313,"{'GER40': 4.43, 'NDX100': 3.75}",0.8,4153,1940,46.7
2,EURUSD+GER40,GER40/3min ss=180 (local_rank=9) | EURUSD/3min ss=180 (local_rank=5),0.047,0.1168,51.1,0.3,10,313,"{'GER40': 4.505, 'EURUSD': 1.85}",0.8,5976,3300,55.2
2,GER40+NDX100,GER40/3min ss=180 (local_rank=9) | NDX100/5min ss=300 (local_rank=5),0.009,0.1137,47.3,0.3,11,313,"{'GER40': 4.385, 'NDX100': 3.284}",0.8,3754,1513,40.3
2,GER40+GER40,GER40/3min ss=180 (local_rank=9) | GER40/1min ss=300 (local_rank=5),0.032,0.1132,50.5,0.6,11,313,{'GER40': 1.989},0.8,4121,1685,40.9
2,GER40+SPX500,GER40/3min ss=180 (local_rank=9) | SPX500/3min ss=180 (local_rank=6),0.176,0.1146,53.0,0.6,11,319,"{'GER40': 4.421, 'SPX500': 1.686}",0.8,4113,2133,51.9
2,GBPUSD+GER40,GER40/3min ss=180 (local_rank=9) | GBPUSD/3min ss=180 (local_rank=7),0.117,0.1131,51.1,0.6,11,313,"{'GER40': 4.361, 'GBPUSD': 1.993}",0.8,4209,1922,45.7
2,GER40+US30,GER40/3min ss=180 (local_rank=9) | US30/5min ss=180 (local_rank=4),0.199,0.1167,50.8,0.3,11,313,"{'GER40': 4.502, 'US30': 2.224}",0.8,6052,3544,58.6
2,EURUSD+GER40,GER40/3min ss=180 (local_rank=9) | EURUSD/5min ss=300 (local_rank=6),0.017,0.0593,50.5,0.3,10,313,"{'GER40': 2.286, 'EURUSD': 3.11}",0.8,6705,1894,28.2
2,EURUSD+GER40,GER40/3min ss=180 (local_rank=9) | EURUSD/5min ss=300 (local_rank=6),0.017,0.068,48.6,0.3,10,313,"{'GER40': 2.622, 'EURUSD': 3.567}",0.8,6705,2281,34.0
2,EURUSD+GER40,GER40/3min ss=180 (local_rank=9) | EURUSD/5min ss=300 (local_rank=6),0.017,0.1127,47.6,0.3,10,313,"{'GER40': 4.347, 'EURUSD': 5.914}",0.8,6705,3818,56.9
2,GER40+US30,GER40/3min ss=180 (local_rank=9) | US30/5min ss=420 (local_rank=9),-0.009,0.0596,50.5,0.0,10,313,"{'GER40': 2.297, 'US30': 1.13}",0.8,5418,1169,21.6
2,GER40+US30,GER40/3min ss=180 (local_rank=9) | US30/5min ss=420 (local_rank=9),-0.009,0.0663,51.4,0.3,10,313,"{'GER40': 2.558, 'US30': 1.259}",0.8,5418,1398,25.8
