asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
6E,3min,14,False,False,True,reversal_cross_back,2,2.0,3,False,20,fractal,0.5,False,21,overbought_oversold,80,25,0.5,True,1.0,fixed_rr,1.5,420,750,1,0,463,46.44,0.836,-51.22,-0.1106,60.21,0.0194,0.841,0.741,5,0,0.0,-0.851,0.0,"[0.997, 0.741, 0.785, 0.88, 0.802]"
6E,5min,20,True,False,True,close_beyond,2,0.5,20,False,20,raw_wick,0.2,False,21,overbought_oversold,75,35,1.0,False,1.0,reversal_to_open,1.5,300,780,3,0,1622,36.93,0.857,-164.29,-0.1013,198.47,0.0943,0.863,0.668,5,2,0.4,-0.828,1.9752,"[1.0, 1.031, 0.682, 0.936, 0.668]"
6E,5min,30,True,False,False,close_beyond,1,0.5,8,True,20,fractal,0.3,False,14,cross_50,65,35,0.75,True,1.0,reversal_to_open,1.5,570,780,5,4,520,36.35,0.697,-108.29,-0.2083,109.34,0.125,0.705,0.546,5,0,0.0,-0.99,0.0,"[0.622, 0.935, 0.546, 0.821, 0.601]"
6JT,5min,14,True,False,True,reversal_cross_back,2,2.0,13,False,3,fractal,0.1,False,14,overbought_oversold,70,30,0.75,True,2.0,opposite_level,1.0,300,630,5,2,1573,30.39,0.649,-490.9,-0.3121,517.31,0.2899,0.653,0.515,5,0,0.0,-0.949,0.0,"[0.587, 0.515, 0.744, 0.752, 0.666]"
6E,3min,30,True,True,False,immediate_break,3,1.0,5,False,13,raw_wick,0.3,True,21,overbought_oversold,75,30,0.5,True,2.0,opposite_level,4.0,180,750,999,3,507,18.74,0.854,-74.83,-0.1476,166.02,0.0868,0.852,0.527,5,1,0.2,-0.451,0.6567,"[0.935, 1.446, 0.666, 0.527, 0.685]"
6JT,3min,20,True,False,True,reversal_cross_back,2,2.0,8,False,20,fractal,0.5,False,14,overbought_oversold,80,20,0.1,False,1.0,reversal_to_open,1.0,570,780,5,3,1389,21.6,0.386,-1795.49,-1.2926,1805.89,0.0828,0.386,0.157,5,0,0.0,-0.994,0.0,"[0.528, 0.545, 0.349, 0.351, 0.157]"
6JT,3min,20,True,True,True,close_beyond,3,0.5,2,True,13,fractal,0.1,False,14,cross_50,70,25,0.2,True,0.5,fixed_rr,1.5,180,660,2,0,1548,23.97,0.063,-3378.95,-2.1828,3378.14,0.0071,0.071,0.031,5,0,0.0,-1.0,0.0,"[0.049, 0.036, 0.129, 0.11, 0.031]"
6E,5min,20,False,True,True,reversal_cross_back,2,0.5,13,False,13,fractal,0.0,False,14,cross_50,75,30,1.0,True,2.0,opposite_level,3.0,180,840,2,0,1488,27.15,0.758,-300.55,-0.202,309.22,0.0181,0.763,0.62,5,0,0.0,-0.972,0.0,"[0.897, 0.837, 0.83, 0.632, 0.62]"
6E,5min,20,False,False,True,immediate_break,2,1.5,1,False,3,fractal,0.0,False,21,cross_50,80,25,0.5,False,1.0,fixed_rr,1.0,180,630,5,2,1957,48.9,0.578,-514.4,-0.2628,516.81,0.0255,0.581,0.457,5,0,0.0,-0.995,0.0,"[0.573, 0.541, 0.68, 0.653, 0.457]"
6E,5min,20,True,True,True,break_of_structure,5,1.0,5,False,8,raw_wick,0.1,False,21,overbought_oversold,75,20,0.5,False,1.5,opposite_level,3.0,180,660,5,3,2882,44.86,0.819,-285.23,-0.099,299.39,0.1593,0.822,0.71,5,0,0.0,-0.953,0.0,"[0.767, 0.874, 0.8, 0.96, 0.71]"
