pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
10119,MGC,5min,fixed_rr,4.4654,1.121,586,2024-04-30,23.4,148,29.8,127,21.8,109,19.7,103,21.3,67,750,29.8,127,188,8.9,66.1,187,271,124,21.5,143,43.3,0.3,10.8
16521,MGC,5min,opposite_level,4.3725,1.047,1608,2024-04-30,5.9,24,6.4,24,5.9,22,6.4,22,6.9,22,1500,6.9,22,188,4.8,92.0,64,71,125,6.1,26,36.1,32.2,33.9
24627,MGC,3min,opposite_level,4.0539,1.033,2747,2024-04-30,1.6,47,2.1,54,2.7,12,1.6,10,3.2,24,1500,3.2,24,188,1.6,98.4,15,15,125,2.6,17,32.3,30.9,33.3
10883,MGC,5min,fixed_rr,3.8474,1.135,743,2024-04-30,38.3,75,39.9,43,38.3,38,29.3,31,28.7,31,750,39.9,43,188,17.6,81.6,58,101,125,31.0,45,55.0,0.8,14.6
24433,MGC,5min,opposite_level,3.7741,1.059,1350,2024-04-30,8.0,46,8.5,88,8.0,45,8.0,45,8.0,45,750,8.5,88,188,1.6,97.6,248,248,125,5.8,88,38.3,21.0,30.3
4919,MGC,3min,fixed_rr,3.7149,0.993,1327,2024-04-30,23.4,46,25.5,29,22.3,19,22.3,18,21.3,18,750,25.5,29,188,8.8,89.6,38,67,125,18.8,29,1.9,9.6,19.2
22873,MGC,5min,opposite_level,3.5971,1.069,1149,2024-04-30,10.6,65,7.4,53,6.9,72,9.0,79,9.0,73,500,10.6,65,188,4.0,88.8,38,158,125,8.0,59,48.9,6.5,21.3
30753,MGC,3min,fixed_rr,3.503,0.983,748,2024-04-30,26.6,75,26.1,46,22.9,39,18.6,40,16.5,45,500,26.6,75,188,12.8,85.6,51,109,125,21.1,68,32.3,0.0,8.7
15393,MGC,5min,fixed_rr,3.4983,1.026,1007,2024-04-30,15.4,54,13.8,37,13.8,37,13.3,33,12.2,30,500,15.4,54,188,8.8,88.0,68,117,125,12.8,64,28.4,0.2,8.8
26917,MGC,3min,fixed_rr,3.4882,0.992,1079,2024-04-30,10.1,36,9.6,31,10.6,31,7.4,36,5.9,26,1000,10.6,31,188,9.6,88.8,86,93,125,10.2,36,42.5,6.5,23.1
