pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
39163,FDXM,5min,opposite_level,51.5808,7.624,3471,2024-03-28,95.2,16,89.9,15,82.4,15,84.0,15,84.0,12,500,95.2,16,188,93.6,4.8,16,36,125,94.6,16,88.5,13.6,2.3
10335,FDXM,5min,opposite_level,51.4263,8.379,3648,2024-03-28,95.7,11,92.0,11,89.4,11,89.4,11,89.9,11,500,95.7,11,188,88.8,11.2,11,25,125,93.0,11,93.6,51.8,3.9
12811,FDXM,5min,opposite_level,50.7635,7.126,4267,2024-03-28,93.6,10,89.9,9,88.3,10,87.2,9,86.2,9,500,93.6,10,188,92.0,7.2,10,23,125,93.0,10,92.3,26.4,3.1
31511,FDXM,3min,opposite_level,50.3497,7.278,3537,2024-03-28,97.9,15,96.8,12,92.0,11,89.9,11,89.9,11,500,97.9,15,188,94.4,4.0,15,29,125,96.5,15,89.8,9.7,2.0
29219,FDXM,5min,reversal_to_open,50.0657,6.767,7517,2024-03-28,91.0,10,87.2,9,83.5,9,82.4,9,81.9,9,500,91.0,10,188,92.0,8.0,8,16,125,91.4,9,89.8,17.5,2.7
4959,FDXM,3min,opposite_level,49.684,8.332,2437,2024-03-28,99.5,10,97.9,10,96.8,10,92.6,9,92.6,9,500,99.5,10,188,96.0,3.2,10,22,125,98.1,10,91.7,18.0,2.6
15435,FDXM,3min,reversal_to_open,47.3475,7.272,3454,2024-03-28,86.2,24,77.1,19,76.6,19,76.1,17,76.1,17,500,86.2,24,188,88.0,10.4,23,39,125,86.9,23,85.3,12.3,2.4
2007,FDXM,3min,opposite_level,45.3313,7.776,1522,2024-03-28,98.9,12,97.9,11,96.8,11,96.3,11,96.8,11,500,98.9,12,188,96.8,1.6,12,23,125,98.1,12,89.8,37.1,3.4
11167,FDXM,5min,reversal_to_open,44.6498,7.074,6492,2024-03-28,91.5,11,84.6,10,82.4,10,80.3,10,80.3,10,500,91.5,11,188,85.6,14.4,11,22,125,89.1,11,90.7,52.4,3.9
6967,FDXM,5min,opposite_level,43.6834,6.5,3635,2024-03-28,92.0,12,90.4,11,86.7,11,85.6,11,85.1,11,500,92.0,12,188,85.6,12.8,11,19,125,89.5,11,91.1,23.4,3.0
33003,MNQ,5min,opposite_level,43.3627,5.753,4201,2024-04-22,66.8,19,62.6,19,60.4,18,58.3,18,57.8,18,500,66.8,19,187,59.5,38.1,19,43,126,63.9,19,72.2,22.6,26.9
35107,FDXM,3min,opposite_level,43.36,6.427,2414,2024-03-28,98.9,16,94.1,15,92.6,12,88.8,12,86.2,12,500,98.9,16,188,96.0,3.2,15,29,125,97.8,16,95.5,10.1,2.3
9807,FDXM,5min,reversal_to_open,43.0716,6.77,2648,2024-03-28,97.9,12,95.7,11,93.1,10,92.6,10,92.0,10,500,97.9,12,188,98.4,0.0,11,22,125,98.1,12,83.1,15.3,2.6
10459,FDXM,5min,reversal_to_open,42.6939,7.623,1183,2024-03-28,100.0,25,100.0,22,100.0,18,99.5,17,98.4,17,1000,100.0,18,188,96.8,0.0,18,32,125,98.7,18,80.8,19.5,3.0
1459,FDXM,3min,opposite_level,42.5678,6.713,3662,2024-03-28,94.1,11,88.8,10,85.1,10,85.6,10,84.6,10,500,94.1,11,188,84.0,16.0,11,24,125,90.1,11,92.0,39.2,3.6
22859,FDXM,3min,reversal_to_open,42.4947,7.95,3975,2024-03-28,86.7,22,75.0,17,70.7,17,69.7,17,70.7,17,500,86.7,22,188,88.0,10.4,17,37,125,87.2,18,89.1,16.9,2.6
14819,FDXM,3min,opposite_level,42.4163,6.212,2595,2024-03-28,97.9,16,95.2,12,95.2,12,94.1,12,94.7,12,500,97.9,16,187,92.8,5.6,17,30,125,95.8,16,94.9,39.8,3.4
22939,FDXM,3min,reversal_to_open,41.5741,7.78,2738,2024-03-28,85.0,26,79.1,24,75.4,23,76.5,19,75.9,19,500,85.0,26,187,89.6,7.2,25,53,125,86.9,26,89.7,12.3,2.1
20063,FDXM,3min,opposite_level,41.035,8.118,3046,2024-03-28,95.7,19,85.6,18,80.9,17,79.8,17,79.8,17,500,95.7,19,188,90.4,8.8,18,39,125,93.6,19,93.0,15.3,2.6
42339,FDXM,5min,reversal_to_open,40.6075,8.094,2365,2024-03-28,100.0,16,98.9,15,98.9,11,94.1,11,92.0,11,500,100.0,16,188,96.8,0.0,15,30,125,98.7,16,77.3,13.1,2.2
16387,MNQ,5min,opposite_level,40.4474,5.284,6721,2024-04-22,70.1,12,63.6,12,62.6,11,59.4,11,59.4,10,500,70.1,12,187,63.5,34.9,15,33,126,67.4,15,72.8,14.7,23.2
9699,FDXM,3min,opposite_level,40.2997,7.228,1210,2024-03-28,100.0,18,100.0,16,100.0,15,98.9,11,97.9,11,1000,100.0,15,188,96.8,1.6,16,24,125,98.7,15,93.6,37.8,3.5
20175,FDXM,3min,reversal_to_open,40.2861,6.755,1190,2024-03-28,99.5,18,98.9,17,97.3,17,96.8,16,96.8,16,500,99.5,18,188,96.8,0.8,18,39,125,98.4,18,81.5,24.4,3.0
20711,FDXM,3min,opposite_level,40.2141,5.583,4041,2024-03-28,97.9,11,96.3,10,94.7,10,94.7,10,93.6,10,500,97.9,11,188,94.4,5.6,11,24,125,96.5,11,95.8,24.1,2.9
4071,FDXM,5min,opposite_level,40.0468,5.722,7359,2024-03-28,89.4,10,82.4,10,77.1,9,76.6,9,76.1,9,500,89.4,10,188,84.0,16.0,10,19,125,87.2,10,87.5,5.2,1.9
42047,FDXM,3min,reversal_to_open,39.8309,6.541,4259,2024-03-28,94.1,12,91.0,12,85.6,11,85.1,11,84.6,11,500,94.1,12,188,93.6,6.4,12,24,125,93.9,12,93.3,58.7,4.1
19539,MNQ,5min,reversal_to_open,39.728,6.975,1240,2024-04-22,98.9,24,96.8,23,94.7,18,91.4,18,90.9,17,500,98.9,24,187,93.7,4.0,24,51,126,96.8,24,88.8,3.1,14.7
26959,FDXM,5min,opposite_level,39.563,7.667,2271,2024-03-28,95.7,18,93.1,18,92.0,18,90.4,18,90.4,18,500,95.7,18,188,95.2,4.8,15,32,125,95.5,16,95.8,64.4,4.2
10223,FDXM,5min,opposite_level,39.3895,6.876,2263,2024-03-28,98.4,12,97.9,11,95.7,11,93.6,11,92.6,11,500,98.4,12,188,96.8,2.4,12,24,125,97.8,12,91.7,14.1,2.5
9303,FDXM,3min,opposite_level,39.2484,5.914,3042,2024-03-28,97.3,10,92.6,9,91.0,9,90.4,9,87.8,9,500,97.3,10,188,92.8,7.2,10,18,125,95.5,10,93.6,21.2,2.9
20167,FDXM,3min,reversal_to_open,39.0887,7.204,2850,2024-03-28,94.7,22,92.6,17,91.5,17,91.0,17,91.0,17,500,94.7,22,188,89.6,8.0,18,32,125,92.7,18,94.6,73.0,4.5
24523,FDXM,5min,opposite_level,38.2856,5.974,4480,2024-03-28,93.1,12,89.4,11,86.7,11,86.7,11,86.7,11,500,93.1,12,188,86.4,12.0,12,26,125,90.4,12,92.7,60.7,4.2
30959,MNQ,5min,reversal_to_open,38.2083,5.86,3448,2024-04-22,92.0,22,85.0,19,79.7,18,78.1,18,77.5,18,500,92.0,22,187,89.7,7.1,18,38,126,91.1,18,88.5,0.0,6.8
7307,MNQ,5min,opposite_level,38.1028,8.019,2273,2024-04-22,84.0,29,79.1,25,77.5,24,73.8,24,72.7,24,500,84.0,29,187,69.0,28.6,37,128,126,78.0,30,85.0,2.6,9.6
