asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
6E,3min,14,True,True,False,immediate_break,5,2.0,20,True,8,fractal,0.5,True,21,overbought_oversold,65,35,1.0,True,2.0,fixed_rr,3.0,300,960,3,0,965,41.66,1.52,318.27,0.3298,37.51,0.1617,1.535,1.148,5,5,1.0,8.485,7.8904,"[1.179, 1.685, 1.148, 1.993, 1.671]"
6E,5min,30,False,False,False,close_beyond,2,0.75,5,False,8,fractal,0.0,False,7,overbought_oversold,75,25,0.5,True,0.5,opposite_level,3.0,420,960,2,2,449,36.08,1.773,287.93,0.6413,25.41,0.1069,1.783,1.602,5,5,1.0,11.331,9.787,"[1.82, 1.602, 1.954, 1.8, 1.74]"
FDXM,5min,14,True,True,True,reversal_cross_back,1,0.75,1,True,8,fractal,0.3,False,7,cross_50,75,25,0.75,True,1.0,opposite_level,3.0,420,750,1,3,692,52.89,2.388,469.73,0.6788,11.99,0.1662,2.397,2.151,5,5,1.0,39.177,14.0698,"[2.181, 2.685, 2.364, 2.605, 2.151]"
MNQ,5min,20,True,True,True,close_beyond,1,2.0,20,True,20,raw_wick,0.0,False,7,cross_50,70,30,0.5,False,1.0,fixed_rr,2.5,420,630,999,4,5009,38.37,1.289,939.8,0.1876,101.23,0.0926,1.295,1.219,5,5,1.0,9.284,10.3849,"[1.404, 1.219, 1.298, 1.29, 1.263]"
6E,3min,30,True,True,False,close_beyond,3,1.5,5,True,3,fractal,0.5,False,21,cross_50,70,25,0.3,True,0.5,reversal_to_open,2.0,420,630,3,4,1593,31.14,1.844,1465.03,0.9197,56.72,0.027,1.826,1.232,5,5,1.0,25.829,9.0848,"[2.2, 1.456, 1.232, 2.366, 1.878]"
6E,5min,14,True,True,True,break_of_structure,5,0.5,3,True,30,raw_wick,0.1,True,7,cross_50,75,30,0.75,True,0.5,reversal_to_open,1.0,300,660,5,4,1662,54.27,3.657,831.27,0.5002,11.15,0.0481,3.665,2.95,5,5,1.0,74.553,21.8783,"[3.028, 4.081, 3.548, 4.717, 2.95]"
FDXM,5min,30,False,True,True,immediate_break,2,0.75,8,False,8,fractal,0.0,False,7,overbought_oversold,70,25,0.2,False,1.0,reversal_to_open,2.0,300,840,1,1,715,35.52,2.652,955.07,1.3358,18.34,0.0028,2.722,1.788,5,5,1.0,52.076,11.7537,"[2.531, 3.456, 3.453, 2.384, 1.788]"
FDXM,3min,20,True,False,True,close_beyond,5,0.75,20,True,30,raw_wick,0.3,True,7,overbought_oversold,65,25,0.75,False,1.5,reversal_to_open,2.5,570,750,3,-1,806,28.91,0.609,-254.4,-0.3156,254.72,0.1067,0.609,0.522,5,0,0.0,-0.999,0.0,"[0.533, 0.719, 0.652, 0.619, 0.522]"
6E,3min,30,True,False,True,close_beyond,1,2.0,2,False,20,raw_wick,0.3,False,14,overbought_oversold,80,30,1.0,True,2.0,fixed_rr,3.0,180,660,999,-1,4704,40.8,1.421,1340.89,0.2851,64.31,0.1431,1.422,1.35,5,5,1.0,20.85,11.4161,"[1.378, 1.377, 1.527, 1.478, 1.35]"
MNQ,3min,14,True,True,False,reversal_cross_back,1,2.0,1,True,5,raw_wick,0.0,False,14,overbought_oversold,70,25,0.3,True,1.5,reversal_to_open,4.0,570,630,2,0,1144,27.97,0.424,-344.46,-0.3011,345.63,0.076,0.427,0.308,5,0,0.0,-0.997,0.0,"[0.374, 0.308, 0.464, 0.407, 0.581]"
