pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
953,6J,5min,reversal_to_open,37.2139,6.059,3609,2024-04-30,97.3,15,95.7,12,94.7,12,95.7,12,95.7,12,500,97.3,15,188,96.0,3.2,18,43,125,96.8,15,82.7,47.5,3.9
8363,6J,5min,reversal_to_open,36.8211,6.188,2788,2024-04-30,93.6,24,92.0,24,92.0,24,92.0,24,92.0,24,500,93.6,24,188,92.0,1.6,24,46,125,93.0,24,89.5,55.6,4.1
7209,6J,5min,opposite_level,34.6173,6.872,3430,2024-04-30,94.7,15,92.6,12,92.0,12,92.6,12,92.6,12,500,94.7,15,188,96.0,0.0,12,25,125,95.2,15,85.6,30.1,3.3
13849,6J,5min,reversal_to_open,34.5064,6.065,2831,2024-04-30,93.6,24,93.1,24,94.7,24,94.1,24,93.1,22,1000,94.7,24,188,91.2,3.2,22,40,125,93.3,22,88.8,83.5,4.7
16753,6J,5min,opposite_level,33.0045,5.798,1141,2024-04-30,100.0,23,100.0,17,99.5,16,99.5,16,98.4,16,750,100.0,17,188,96.8,0.0,23,38,125,98.7,18,56.9,68.6,4.4
14793,6J,5min,opposite_level,32.6698,7.617,2528,2024-04-30,92.0,18,91.0,17,88.3,16,87.2,16,87.8,15,500,92.0,18,188,96.0,2.4,17,44,125,93.6,17,79.6,25.9,3.1
12563,6J,3min,reversal_to_open,32.4203,5.632,1339,2024-04-30,96.8,54,88.8,51,89.4,52,89.4,52,88.8,50,500,96.8,54,188,84.8,2.4,78,128,125,92.0,61,92.0,74.1,4.4
9655,6J,5min,opposite_level,32.3477,5.516,2505,2024-04-30,94.1,18,91.0,17,88.8,17,87.2,16,87.2,17,500,94.1,18,188,88.0,4.0,17,37,125,91.7,18,85.9,40.0,3.7
12093,6J,5min,opposite_level,31.9782,6.928,2854,2024-04-30,89.9,22,89.9,18,87.8,18,88.3,18,89.9,18,750,89.9,18,188,92.0,2.4,22,44,125,90.7,18,86.9,58.1,4.1
15417,6J,5min,opposite_level,30.5933,5.224,3674,2024-04-30,93.6,12,95.2,12,94.7,12,94.7,12,94.7,12,750,95.2,12,188,92.8,5.6,12,26,125,94.2,12,93.9,93.6,4.9
