asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
6J,5min,20,False,True,False,reversal_cross_back,5,2.0,20,False,30,raw_wick,0.1,True,7,overbought_oversold,70,35,0.3,False,1.0,reversal_to_open,1.25,420,840,999,-1,1377,38.71,1.175,214.3,0.1556,60.85,0.061,1.185,0.931,5,3,0.6,3.522,4.0378,"[0.931, 1.384, 1.374, 1.247, 0.989]"
6J,5min,14,True,True,True,immediate_break,1,0.75,13,True,30,fractal,0.5,True,7,cross_50,70,25,0.2,False,2.0,opposite_level,1.5,180,900,999,3,405,47.9,3.611,725.39,1.7911,34.29,0.1111,3.573,1.994,5,5,1.0,21.155,11.9767,"[4.241, 4.322, 1.994, 4.359, 2.951]"
6J,5min,14,False,False,True,reversal_cross_back,2,0.75,2,True,13,fractal,0.2,False,7,overbought_oversold,80,20,0.5,True,2.0,fixed_rr,1.5,420,960,999,3,1069,46.21,0.876,-81.38,-0.0761,103.14,0.1188,0.878,0.663,5,1,0.2,-0.789,0.9249,"[0.663, 0.945, 0.917, 1.062, 0.802]"
6J,3min,20,True,True,False,close_beyond,2,1.0,13,True,13,fractal,0.5,True,7,overbought_oversold,65,20,1.0,True,1.5,fixed_rr,2.5,570,840,999,1,810,34.94,0.724,-168.65,-0.2082,178.19,0.2074,0.727,0.623,5,0,0.0,-0.946,0.0,"[0.779, 0.623, 0.808, 0.738, 0.689]"
6J,5min,30,True,True,True,close_beyond,3,1.5,8,True,5,raw_wick,0.2,False,21,overbought_oversold,65,30,0.5,False,2.0,fixed_rr,1.0,180,900,1,0,742,50.13,0.41,-317.58,-0.428,322.01,0.0,0.449,0.225,5,0,0.0,-0.986,0.0,"[0.261, 0.387, 0.707, 0.665, 0.225]"
6J,3min,30,True,False,True,immediate_break,5,1.5,1,True,8,raw_wick,0.1,True,7,overbought_oversold,65,20,0.5,True,1.5,reversal_to_open,4.0,300,960,5,1,1176,32.91,0.959,-47.36,-0.0403,106.82,0.0519,0.965,0.812,5,2,0.4,-0.443,2.2966,"[0.812, 0.988, 1.073, 1.013, 0.941]"
6J,5min,20,True,False,False,reversal_cross_back,1,0.75,5,True,20,fractal,0.2,False,21,cross_50,80,25,0.2,True,0.5,fixed_rr,1.25,420,900,5,1,587,50.43,0.834,-56.36,-0.096,62.13,0.0903,0.882,0.678,5,1,0.2,-0.907,0.8647,"[0.739, 0.858, 1.441, 0.692, 0.678]"
6J,3min,30,False,True,True,break_of_structure,1,0.5,1,False,30,raw_wick,0.2,False,7,overbought_oversold,75,25,0.2,False,1.5,opposite_level,1.5,570,900,999,0,2923,44.89,0.643,-526.52,-0.1801,542.91,0.3514,0.642,0.542,5,0,0.0,-0.97,0.0,"[0.63, 0.713, 0.542, 0.733, 0.592]"
6J,3min,30,True,True,False,immediate_break,1,2.0,3,False,3,raw_wick,0.1,False,7,cross_50,70,30,0.1,False,1.5,fixed_rr,1.25,180,780,3,2,2111,29.18,0.111,-3558.1,-1.6855,3556.4,0.0057,0.128,0.068,5,0,0.0,-1.0,0.0,"[0.076, 0.072, 0.259, 0.164, 0.068]"
6J,3min,20,False,False,False,immediate_break,5,0.75,13,False,30,fractal,0.0,False,7,cross_50,80,25,1.0,True,0.5,reversal_to_open,2.5,300,960,3,3,611,44.03,2.766,756.33,1.2379,19.51,0.0295,2.809,1.876,5,5,1.0,38.766,12.0378,"[3.712, 3.254, 3.103, 2.102, 1.876]"
6J,5min,30,False,False,True,reversal_cross_back,1,0.75,20,False,30,fractal,0.0,False,14,overbought_oversold,75,25,0.2,False,1.0,opposite_level,4.0,570,690,5,4,632,22.47,0.547,-334.68,-0.5296,349.42,0.2089,0.562,0.342,5,0,0.0,-0.958,0.0,"[0.666, 0.417, 0.564, 0.822, 0.342]"
6J,5min,30,False,True,True,immediate_break,1,0.75,2,False,3,fractal,0.2,False,21,overbought_oversold,80,25,0.1,True,1.0,fixed_rr,1.25,180,750,3,3,2204,47.14,0.342,-1656.46,-0.7516,1668.73,0.0036,0.373,0.239,5,0,0.0,-0.993,0.0,"[0.261, 0.265, 0.647, 0.455, 0.239]"
6J,3min,14,True,False,False,close_beyond,3,0.5,5,False,3,raw_wick,0.0,False,14,cross_50,75,35,0.5,False,1.5,fixed_rr,1.0,300,630,5,4,785,49.94,0.373,-346.76,-0.4417,350.74,0.0204,0.387,0.27,5,0,0.0,-0.989,0.0,"[0.27, 0.285, 0.535, 0.567, 0.278]"
6J,5min,14,False,True,True,close_beyond,1,0.5,3,False,5,raw_wick,0.2,False,14,cross_50,70,30,0.75,False,2.0,reversal_to_open,3.0,180,900,5,2,3421,44.14,2.407,3611.51,1.0557,40.42,0.0196,2.436,1.734,5,5,1.0,89.35,14.1113,"[2.301, 2.924, 3.101, 1.734, 2.119]"
6J,3min,14,False,True,False,immediate_break,1,0.75,1,False,20,fractal,0.5,False,14,cross_50,75,20,0.75,False,2.0,reversal_to_open,2.0,420,840,1,2,724,41.3,2.86,1181.6,1.632,27.97,0.0028,2.909,2.267,5,5,1.0,42.245,14.9309,"[2.8, 2.303, 3.599, 3.575, 2.267]"
6J,5min,20,True,True,False,break_of_structure,2,1.0,5,False,30,fractal,0.0,False,21,cross_50,80,25,0.5,False,2.0,reversal_to_open,4.0,570,840,5,-1,687,4.08,0.02,-288.54,-0.42,288.23,0.048,0.021,0.001,5,0,0.0,-1.001,0.0,"[0.014, 0.06, 0.01, 0.019, 0.001]"
6J,5min,14,True,True,False,reversal_cross_back,1,0.5,1,True,8,fractal,0.3,False,21,overbought_oversold,65,30,0.1,True,1.0,reversal_to_open,1.0,420,660,2,-1,933,49.52,1.879,418.91,0.449,16.72,0.0514,1.891,1.504,5,5,1.0,25.054,10.2866,"[1.7, 1.575, 2.412, 2.262, 1.504]"
6J,3min,20,True,True,False,close_beyond,2,0.75,2,True,30,raw_wick,0.0,False,7,cross_50,75,25,0.1,False,1.0,reversal_to_open,4.0,570,630,1,-1,589,25.47,0.442,-649.83,-1.1033,648.27,0.0611,0.459,0.307,5,0,0.0,-1.002,0.0,"[0.307, 0.403, 0.529, 0.61, 0.448]"
6J,5min,14,True,False,True,reversal_cross_back,5,1.5,1,False,8,fractal,0.5,False,21,overbought_oversold,65,35,0.5,False,0.5,opposite_level,4.0,420,630,1,1,476,36.55,1.797,320.25,0.6728,20.24,0.2941,1.845,1.2,5,5,1.0,15.823,7.401,"[1.44, 1.768, 2.109, 2.707, 1.2]"
6J,5min,30,False,False,True,close_beyond,3,1.0,3,False,3,fractal,0.2,False,21,cross_50,70,35,0.75,True,1.0,reversal_to_open,3.0,570,840,5,2,692,38.29,0.672,-170.72,-0.2467,177.49,0.1488,0.666,0.407,5,0,0.0,-0.962,0.0,"[0.502, 0.948, 0.407, 0.701, 0.771]"
6J,3min,30,True,True,False,close_beyond,3,0.5,13,False,5,raw_wick,0.5,False,14,overbought_oversold,75,30,1.0,False,2.0,opposite_level,4.0,300,840,3,0,1798,36.82,2.698,2587.42,1.4391,45.97,0.1118,2.731,1.837,5,5,1.0,56.285,13.7683,"[2.11, 3.552, 3.143, 1.837, 3.015]"
6J,5min,20,True,False,False,close_beyond,3,1.0,3,False,3,raw_wick,0.2,False,7,overbought_oversold,80,30,1.0,True,1.0,opposite_level,2.5,300,630,3,-1,934,52.03,3.749,1459.03,1.5621,18.36,0.3437,3.817,2.475,5,5,1.0,79.468,16.9304,"[5.502, 3.499, 3.775, 2.475, 3.836]"
6J,3min,20,False,True,True,break_of_structure,2,1.5,13,True,30,raw_wick,0.3,True,21,cross_50,75,30,0.3,True,2.0,reversal_to_open,2.5,570,960,2,1,561,33.87,0.421,-113.28,-0.2019,114.91,0.1693,0.434,0.251,5,0,0.0,-0.986,0.0,"[0.563, 0.467, 0.578, 0.311, 0.251]"
6J,3min,20,True,True,True,immediate_break,3,1.5,1,False,3,fractal,0.0,True,21,overbought_oversold,65,35,0.3,True,0.5,reversal_to_open,4.0,420,780,3,2,983,35.71,1.314,317.19,0.3227,161.98,0.0651,1.333,0.597,5,4,0.8,1.958,3.2914,"[0.597, 1.262, 1.078, 2.403, 1.323]"
6J,5min,20,False,False,False,break_of_structure,3,2.0,20,False,30,raw_wick,0.0,False,7,cross_50,80,25,0.2,False,0.5,fixed_rr,1.25,180,780,2,0,430,60.47,1.394,71.69,0.1667,8.11,0.1535,1.401,1.168,5,5,1.0,8.84,7.0852,"[1.318, 1.279, 1.544, 1.697, 1.168]"
6J,5min,20,False,True,True,close_beyond,5,2.0,20,True,30,raw_wick,0.3,False,21,cross_50,80,30,0.5,False,0.5,reversal_to_open,4.0,420,750,1,-1,882,39.8,2.584,1294.41,1.4676,22.67,0.0091,2.629,2.171,5,5,1.0,57.098,14.7266,"[2.277, 2.171, 3.528, 2.877, 2.293]"
6J,5min,14,False,True,False,reversal_cross_back,1,0.5,20,False,3,raw_wick,0.5,False,14,cross_50,75,30,1.0,False,0.5,fixed_rr,3.0,300,900,999,0,1731,44.08,1.481,512.23,0.2959,29.53,0.2328,1.487,1.275,5,5,1.0,17.346,9.5077,"[1.275, 1.583, 1.609, 1.516, 1.45]"
6J,5min,20,True,True,False,reversal_cross_back,5,1.0,1,True,13,fractal,0.1,False,14,overbought_oversold,70,25,0.75,False,1.5,opposite_level,4.0,180,630,999,-1,1408,56.82,3.179,1350.24,0.959,17.86,0.2557,3.274,2.745,5,5,1.0,75.601,19.903,"[2.745, 3.186, 4.735, 2.906, 2.8]"
6J,3min,30,False,True,False,close_beyond,1,0.5,2,False,3,raw_wick,0.0,False,7,overbought_oversold,70,30,0.2,False,1.0,fixed_rr,1.25,180,840,2,-1,1662,30.2,0.13,-2176.34,-1.3095,2179.79,0.0012,0.144,0.083,5,0,0.0,-0.998,0.0,"[0.097, 0.083, 0.26, 0.195, 0.086]"
6J,3min,20,False,False,False,close_beyond,2,0.75,2,True,20,fractal,0.0,False,14,cross_50,75,35,0.1,False,2.0,fixed_rr,1.5,420,750,2,-1,489,26.58,0.085,-1088.91,-2.2268,1090.17,0.0102,0.094,0.051,5,0,0.0,-0.999,0.0,"[0.087, 0.054, 0.113, 0.166, 0.051]"
6J,5min,20,False,False,False,close_beyond,2,1.5,20,False,30,raw_wick,0.5,False,7,cross_50,80,20,0.5,False,2.0,reversal_to_open,2.5,300,660,2,4,401,41.15,2.666,568.38,1.4174,16.07,0.0274,2.717,1.679,5,5,1.0,35.369,10.068,"[2.327, 3.35, 3.403, 1.679, 2.824]"
6J,3min,20,False,True,True,close_beyond,5,2.0,13,False,8,raw_wick,0.1,True,14,overbought_oversold,65,35,0.75,True,2.0,opposite_level,3.0,420,660,1,3,468,41.24,1.651,229.04,0.4894,33.14,0.2372,1.701,1.163,5,5,1.0,6.911,7.1532,"[1.262, 1.562, 1.475, 3.041, 1.163]"
6J,3min,14,True,True,False,immediate_break,3,2.0,8,True,5,raw_wick,0.1,False,14,overbought_oversold,75,30,0.2,True,1.0,reversal_to_open,1.0,420,780,999,2,2710,33.28,2.028,3715.15,1.3709,134.69,0.0347,2.033,1.614,5,5,1.0,27.583,12.7588,"[1.634, 1.841, 1.777, 3.3, 1.614]"
6J,3min,14,False,False,False,close_beyond,1,0.5,5,True,5,raw_wick,0.0,False,7,cross_50,80,30,0.1,True,0.5,fixed_rr,1.25,300,840,999,4,431,25.75,0.074,-891.13,-2.0676,892.58,0.0046,0.082,0.044,5,0,0.0,-0.998,0.0,"[0.058, 0.044, 0.113, 0.143, 0.051]"
6J,5min,30,True,True,False,immediate_break,3,1.0,2,False,5,fractal,0.0,False,14,overbought_oversold,70,35,0.75,True,1.5,reversal_to_open,1.0,180,900,999,4,3357,55.47,3.93,5212.99,1.5529,27.05,0.0465,3.973,2.782,5,5,1.0,192.717,22.5873,"[4.498, 4.032, 4.855, 2.782, 3.699]"
6J,3min,20,False,False,True,break_of_structure,2,1.5,8,True,20,raw_wick,0.1,True,7,cross_50,80,25,0.75,True,1.0,opposite_level,3.0,180,750,999,2,474,45.36,1.557,136.18,0.2873,17.78,0.3966,1.554,1.35,5,5,1.0,7.659,8.3205,"[1.35, 1.777, 1.429, 1.835, 1.381]"
6J,3min,20,True,False,True,reversal_cross_back,5,0.75,3,False,20,raw_wick,0.2,False,7,cross_50,65,20,0.3,True,0.5,opposite_level,1.0,300,630,1,2,538,26.58,1.301,207.55,0.3858,99.06,0.1747,1.331,0.612,5,4,0.8,2.095,3.0794,"[1.06, 1.767, 1.175, 2.043, 0.612]"
6J,3min,30,False,True,False,reversal_cross_back,1,2.0,20,False,8,fractal,0.3,False,21,overbought_oversold,80,30,0.2,True,1.0,fixed_rr,2.5,300,960,3,2,1453,39.99,0.738,-380.18,-0.2616,391.26,0.0647,0.745,0.62,5,0,0.0,-0.972,0.0,"[0.856, 0.767, 0.772, 0.708, 0.62]"
6J,3min,30,False,False,True,immediate_break,1,1.0,3,True,8,raw_wick,0.0,False,14,overbought_oversold,75,25,0.5,True,1.0,reversal_to_open,1.5,180,960,999,-1,3771,32.59,1.316,1184.44,0.3141,164.41,0.0339,1.317,1.084,5,5,1.0,7.204,8.9271,"[1.406, 1.325, 1.39, 1.381, 1.084]"
6J,5min,14,True,False,True,immediate_break,1,1.0,1,False,8,raw_wick,0.5,False,7,overbought_oversold,80,25,1.0,True,1.0,opposite_level,2.0,180,660,2,0,1158,39.21,2.076,896.21,0.7739,26.64,0.2427,2.069,1.639,5,5,1.0,33.642,11.5637,"[2.372, 2.481, 1.948, 1.906, 1.639]"
