pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
9482,MCL,5min,opposite_level,46.8984,7.454,1761,2024-04-29,95.2,24,92.5,24,91.4,23,84.5,22,85.0,19,500,95.2,24,187,95.2,3.2,26,57,126,95.2,24,93.0,8.4,17.2
16138,MCL,5min,reversal_to_open,46.424,6.516,4602,2024-04-29,87.2,15,78.1,12,72.2,11,68.4,11,67.4,11,500,87.2,15,187,85.7,12.7,16,32,126,86.6,15,88.5,2.9,15.9
14522,MCL,5min,reversal_to_open,46.1403,6.304,4599,2024-04-29,86.6,15,79.1,12,71.7,11,66.3,11,65.8,10,500,86.6,15,187,85.7,12.7,15,31,126,86.3,15,89.1,2.8,15.5
2530,MCL,5min,opposite_level,43.261,6.128,2774,2024-04-29,89.8,19,80.7,18,77.5,17,74.3,17,73.3,16,500,89.8,19,187,92.9,5.6,19,40,126,91.1,19,90.1,2.9,15.8
2694,MCL,3min,reversal_to_open,41.5047,7.377,2554,2024-04-29,86.6,26,77.0,26,73.3,25,71.1,25,69.5,25,500,86.6,26,187,83.3,14.3,32,72,126,85.3,31,85.6,3.9,18.7
8044,MCL,5min,opposite_level,39.1708,6.969,1363,2024-04-29,100.0,18,98.9,16,97.3,15,93.6,12,92.5,12,500,100.0,18,187,97.6,0.0,17,30,126,99.0,17,70.6,0.3,13.0
19758,MCL,5min,reversal_to_open,39.1489,5.852,2627,2024-04-29,85.6,25,78.1,23,72.7,19,72.2,23,71.1,19,500,85.6,25,187,88.1,9.5,25,51,126,86.6,25,92.0,2.1,15.8
14150,MCL,5min,opposite_level,38.8772,7.27,2696,2024-04-29,93.6,19,88.2,19,84.5,18,80.2,18,80.2,17,500,93.6,19,187,88.1,7.9,24,59,126,91.4,22,90.7,2.8,12.1
9572,MCL,5min,opposite_level,37.9591,5.058,6644,2024-04-29,87.2,12,79.7,11,75.9,11,70.6,10,72.2,10,500,87.2,12,187,80.2,19.0,12,25,126,84.3,12,85.0,2.1,13.0
6054,MCL,5min,opposite_level,37.471,4.96,6121,2024-04-29,81.8,11,72.2,11,70.1,11,66.8,11,66.8,11,500,81.8,11,187,77.8,21.4,11,24,126,80.2,11,83.7,5.6,21.3
13758,MCL,3min,reversal_to_open,37.43,5.341,3657,2024-04-29,80.2,19,71.1,18,66.3,17,63.1,17,63.1,15,500,80.2,19,187,86.5,11.9,19,36,126,82.7,19,85.9,4.0,19.4
8026,MCL,5min,opposite_level,37.188,7.28,1238,2024-04-29,98.9,18,97.3,17,96.3,16,92.5,15,91.4,11,500,98.9,18,187,96.8,0.8,17,29,126,98.1,17,68.7,0.7,13.5
12108,MCL,5min,reversal_to_open,36.6564,5.626,3604,2024-04-29,91.4,15,80.2,15,77.5,12,73.8,12,73.8,12,500,91.4,15,187,89.7,8.7,12,26,126,90.7,15,90.4,1.7,18.0
1222,MCL,5min,reversal_to_open,36.3288,7.098,2463,2024-04-29,96.3,15,87.7,11,87.7,11,81.3,11,80.2,11,500,96.3,15,187,94.4,4.8,15,29,126,95.5,15,89.8,2.4,17.9
6548,MCL,5min,opposite_level,36.1381,4.961,4488,2024-04-29,86.1,12,80.2,12,73.3,11,70.6,10,73.3,10,500,86.1,12,187,84.1,15.1,12,25,126,85.3,12,86.3,2.0,13.5
16528,MCL,5min,opposite_level,35.8572,6.369,1416,2024-04-29,93.0,36,88.8,31,87.7,25,78.6,24,78.6,24,500,93.0,36,187,95.2,2.4,29,51,126,93.9,31,93.6,4.0,15.4
20398,MCL,5min,reversal_to_open,35.8113,5.135,6101,2024-04-29,75.4,12,70.1,11,69.0,11,67.4,11,67.4,11,500,75.4,12,187,72.2,25.4,12,29,126,74.1,12,80.5,17.2,27.7
