pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
16931,MCL,5min,opposite_level,45.6094,7.011,2449,2024-04-29,98.4,16,93.0,15,88.2,12,76.5,12,76.5,11,500,98.4,16,187,95.2,3.2,16,31,126,97.1,16,93.3,0.6,13.7
13063,MCL,5min,reversal_to_open,37.7146,5.842,2391,2024-04-29,96.8,22,89.8,19,85.0,19,75.9,17,75.4,17,500,96.8,22,187,90.5,7.1,19,38,126,94.2,22,91.1,1.7,13.3
16013,MCL,5min,opposite_level,37.6551,5.014,6140,2024-04-29,71.7,12,62.6,11,62.0,11,59.4,11,59.4,11,500,71.7,12,187,71.4,27.0,11,25,126,71.6,11,77.6,6.9,22.4
9963,MCL,3min,reversal_to_open,37.2332,5.934,2458,2024-04-29,93.6,18,87.7,17,86.1,17,74.3,16,73.8,16,500,93.6,18,187,89.7,7.9,23,39,126,92.0,19,90.1,1.1,14.9
15549,MCL,5min,reversal_to_open,36.9689,6.464,1227,2024-04-29,100.0,22,96.8,17,95.7,17,94.1,16,93.0,16,500,100.0,22,187,97.6,0.8,23,40,126,99.0,22,78.3,3.1,16.8
5389,MCL,5min,reversal_to_open,36.762,5.479,3178,2024-04-29,79.7,26,71.1,25,67.9,24,64.7,24,63.1,22,500,79.7,26,187,79.4,18.3,29,47,126,79.6,29,83.4,7.2,18.8
10419,MCL,5min,reversal_to_open,36.1095,5.111,6036,2024-04-29,80.7,12,72.7,11,71.1,11,68.4,11,69.0,11,500,80.7,12,187,80.2,17.5,11,26,126,80.5,12,84.0,8.2,23.1
22485,MCL,5min,opposite_level,35.9159,5.473,3791,2024-04-29,79.7,15,70.6,15,67.9,17,64.2,17,63.6,17,500,79.7,15,187,84.1,14.3,17,40,126,81.5,17,83.1,25.6,31.6
1219,MCL,5min,reversal_to_open,35.6784,6.076,3417,2024-04-29,84.0,18,75.9,16,73.3,18,69.5,16,70.1,16,500,84.0,18,187,77.8,18.3,16,43,126,81.5,18,83.1,14.3,25.5
291,MCL,3min,opposite_level,35.3328,6.656,2541,2024-04-29,88.2,24,82.4,23,78.1,22,75.9,22,76.5,18,500,88.2,24,187,84.1,12.7,29,59,126,86.6,25,87.9,9.1,17.2
20155,MCL,5min,reversal_to_open,34.9119,5.794,2291,2024-04-29,88.8,24,84.5,19,81.8,18,76.5,18,75.9,17,500,88.8,24,187,86.5,11.9,25,52,126,87.9,24,89.5,7.2,19.3
