asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
MCL,3min,30,True,True,True,reversal_cross_back,2,0.75,5,False,8,raw_wick,0.0,False,21,overbought_oversold,80,35,0.75,False,1.0,reversal_to_open,2.5,180,900,1,2,741,43.05,3.221,1156.63,1.5609,20.35,0.0,3.253,2.443,5,5,1.0,56.837,16.1466,"[3.416, 3.115, 3.71, 3.582, 2.443]"
MCL,5min,14,False,True,True,immediate_break,5,1.0,8,True,13,raw_wick,0.0,False,14,overbought_oversold,70,30,1.0,False,0.5,reversal_to_open,1.5,300,630,1,0,737,53.32,3.208,832.56,1.1297,10.86,0.0109,3.354,2.27,5,5,1.0,76.663,14.991,"[2.27, 2.605, 4.024, 4.941, 2.932]"
MCL,3min,14,True,True,True,break_of_structure,5,0.75,2,True,5,raw_wick,0.0,False,14,overbought_oversold,80,20,0.3,False,1.5,fixed_rr,4.0,300,780,5,3,3407,35.43,1.456,1123.73,0.3298,63.62,0.1523,1.459,1.213,5,5,1.0,17.663,9.8664,"[1.213, 1.483, 1.698, 1.429, 1.474]"
MCL,3min,20,True,True,True,immediate_break,3,2.0,1,False,3,fractal,0.3,False,14,overbought_oversold,70,25,0.2,True,1.5,reversal_to_open,1.0,570,840,5,0,3403,28.77,0.63,-995.11,-0.2924,1007.84,0.0223,0.641,0.553,5,0,0.0,-0.987,0.0,"[0.553, 0.572, 0.888, 0.593, 0.601]"
MCL,5min,20,True,True,True,reversal_cross_back,5,2.0,13,False,5,fractal,0.2,False,21,overbought_oversold,80,35,0.1,True,0.5,fixed_rr,4.0,420,660,5,3,3407,33.55,1.052,172.32,0.0506,252.45,0.0919,1.097,0.735,5,3,0.6,0.683,3.587,"[0.735, 1.016, 1.751, 1.052, 0.93]"
MCL,5min,20,False,True,True,break_of_structure,1,2.0,5,False,5,raw_wick,0.1,True,14,cross_50,75,20,0.1,False,1.5,opposite_level,4.0,300,630,3,1,747,55.56,2.095,331.66,0.444,26.74,0.253,2.307,0.933,5,4,0.8,12.403,4.9392,"[0.933, 2.784, 3.648, 3.074, 1.097]"
MCL,3min,14,False,False,True,break_of_structure,5,0.75,20,True,8,raw_wick,0.3,True,21,cross_50,70,25,0.2,True,1.0,fixed_rr,1.5,180,780,5,2,458,47.38,1.101,24.25,0.0529,27.25,0.1594,1.155,0.771,5,2,0.4,0.89,1.8902,"[0.975, 1.561, 0.977, 0.771, 1.493]"
MCL,3min,30,True,True,False,immediate_break,2,0.75,1,False,8,raw_wick,0.5,True,21,overbought_oversold,70,30,0.5,False,0.5,reversal_to_open,3.0,420,750,999,0,415,33.49,1.355,118.61,0.2858,37.09,0.1084,1.343,0.966,5,4,0.8,3.198,4.6605,"[1.13, 1.885, 0.966, 1.346, 1.388]"
MCL,3min,20,False,False,False,immediate_break,3,0.75,20,True,20,raw_wick,0.5,False,14,overbought_oversold,75,30,1.0,False,1.0,fixed_rr,3.0,300,690,5,3,620,44.84,1.826,320.86,0.5175,19.06,0.1,1.843,1.489,5,5,1.0,16.834,9.5763,"[1.489, 1.956, 1.885, 2.333, 1.554]"
MCL,5min,14,False,False,False,reversal_cross_back,1,0.5,5,False,30,raw_wick,0.0,False,14,overbought_oversold,65,20,0.75,False,0.5,reversal_to_open,2.0,180,750,3,0,450,49.33,2.24,301.45,0.6699,18.14,0.0844,2.292,1.646,5,5,1.0,16.618,10.0595,"[2.873, 2.786, 1.965, 1.646, 2.192]"
MCL,5min,30,False,True,False,reversal_cross_back,2,1.0,3,False,8,fractal,0.0,True,14,overbought_oversold,70,30,0.5,True,2.0,opposite_level,2.5,420,660,2,3,383,41.78,1.885,210.43,0.5494,27.27,0.2689,1.955,0.71,5,4,0.8,7.717,3.38,"[0.71, 1.886, 3.663, 1.226, 2.292]"
MCL,3min,30,True,True,True,reversal_cross_back,3,0.75,20,False,3,fractal,0.0,False,7,overbought_oversold,65,35,0.5,True,1.0,reversal_to_open,3.0,180,780,2,2,1482,49.87,3.65,2460.39,1.6602,30.98,0.0007,3.705,2.755,5,5,1.0,79.419,20.1165,"[4.241, 3.617, 4.523, 3.388, 2.755]"
MCL,5min,14,True,False,False,break_of_structure,1,1.5,2,False,13,raw_wick,0.5,False,21,overbought_oversold,65,35,0.2,False,2.0,opposite_level,4.0,420,750,1,2,415,49.4,2.316,267.03,0.6434,11.27,0.3181,2.33,1.893,5,5,1.0,23.694,11.4161,"[1.893, 2.018, 3.216, 2.508, 2.015]"
MCL,3min,14,False,False,True,reversal_cross_back,2,2.0,8,True,5,raw_wick,0.3,False,21,overbought_oversold,70,20,0.5,False,1.0,fixed_rr,4.0,570,630,5,-1,544,37.68,0.907,-25.95,-0.0477,38.8,0.5846,0.967,0.566,5,1,0.2,-0.669,0.7132,"[0.566, 1.913, 0.779, 0.771, 0.806]"
MCL,3min,14,False,True,True,large_wick_reject,1,0.5,20,True,8,raw_wick,0.3,False,7,cross_50,80,25,0.5,False,0.5,fixed_rr,2.0,180,690,5,-1,863,45.65,1.302,155.66,0.1804,24.31,0.0892,1.33,1.142,5,5,1.0,6.403,7.7217,"[1.699, 1.142, 1.399, 1.215, 1.193]"
MCL,3min,14,True,False,False,close_beyond,3,0.5,2,False,20,fractal,0.5,False,14,cross_50,65,35,0.2,False,2.0,reversal_to_open,2.0,180,750,5,0,1012,21.54,2.815,2491.78,2.4622,100.65,0.0247,2.952,1.771,5,5,1.0,24.757,12.2565,"[1.771, 4.114, 4.248, 2.04, 2.589]"
MCL,5min,30,False,True,True,reversal_cross_back,2,1.0,2,True,30,fractal,0.5,False,21,overbought_oversold,70,35,0.3,True,0.5,reversal_to_open,3.0,180,840,1,-1,913,52.14,4.581,1702.75,1.865,12.36,0.0011,4.649,3.71,5,5,1.0,137.763,25.2942,"[5.651, 4.546, 4.592, 4.746, 3.71]"
MCL,3min,14,True,True,True,reversal_cross_back,2,0.5,5,True,5,fractal,0.5,True,21,cross_50,75,25,0.2,False,1.5,reversal_to_open,4.0,570,780,3,2,506,37.94,0.687,-64.45,-0.1274,79.59,0.0751,0.712,0.351,5,1,0.2,-0.81,0.4372,"[0.351, 0.437, 0.978, 0.473, 1.322]"
MCL,3min,14,False,True,True,immediate_break,1,0.5,3,False,30,fractal,0.5,False,14,overbought_oversold,80,20,0.2,False,0.5,reversal_to_open,4.0,300,690,1,-1,923,23.84,1.858,943.24,1.0219,56.82,0.0,1.904,1.427,5,5,1.0,16.6,9.7446,"[1.427, 1.657, 2.323, 2.581, 1.533]"
MCL,3min,20,True,False,False,immediate_break,3,0.75,1,False,3,raw_wick,0.5,False,14,cross_50,70,35,0.3,True,1.0,opposite_level,1.25,300,630,3,1,973,29.09,2.003,964.52,0.9913,68.39,0.1542,2.031,1.211,5,5,1.0,14.103,8.3334,"[1.211, 2.456, 2.347, 2.196, 1.945]"
MCL,5min,30,True,False,True,reversal_cross_back,1,1.5,1,False,3,raw_wick,0.3,False,14,overbought_oversold,65,25,0.5,True,0.5,reversal_to_open,3.0,300,660,1,0,596,46.64,2.544,552.86,0.9276,18.79,0.0419,2.551,2.053,5,5,1.0,29.423,13.1226,"[2.053, 2.345, 2.934, 2.591, 2.834]"
MCL,3min,14,False,True,False,close_beyond,5,2.0,3,False,20,raw_wick,0.3,False,21,cross_50,65,25,0.3,True,0.5,fixed_rr,1.5,300,750,5,4,2276,47.36,0.708,-494.95,-0.2175,502.46,0.0053,0.713,0.562,5,0,0.0,-0.985,0.0,"[0.562, 0.634, 0.737, 0.943, 0.691]"
MCL,3min,30,True,True,True,immediate_break,2,1.5,13,False,20,fractal,0.1,False,7,cross_50,65,25,1.0,False,1.0,fixed_rr,2.0,300,780,5,4,3691,47.85,1.36,832.66,0.2256,66.93,0.0084,1.37,1.192,5,5,1.0,12.441,9.791,"[1.192, 1.422, 1.459, 1.575, 1.204]"
MCL,5min,30,True,True,False,close_beyond,3,0.5,13,True,5,fractal,0.1,False,21,cross_50,75,35,0.1,True,1.5,fixed_rr,3.0,300,660,2,-1,1671,46.68,1.536,704.91,0.4219,54.68,0.0275,1.578,1.047,5,5,1.0,12.892,7.7706,"[1.533, 1.506, 1.801, 2.003, 1.047]"
MCL,5min,30,True,False,False,immediate_break,2,0.5,1,True,3,fractal,0.3,False,21,overbought_oversold,80,30,0.2,True,1.0,reversal_to_open,4.0,570,960,2,3,965,20.73,0.46,-460.01,-0.4767,462.92,0.0487,0.464,0.36,5,0,0.0,-0.994,0.0,"[0.451, 0.404, 0.609, 0.498, 0.36]"
MCL,3min,14,False,False,True,break_of_structure,3,0.75,20,True,30,fractal,0.5,False,7,overbought_oversold,70,35,0.75,False,1.0,reversal_to_open,3.0,180,840,999,-1,2619,43.34,2.133,927.05,0.354,26.15,0.0298,2.132,1.996,5,5,1.0,35.451,15.7104,"[2.086, 2.15, 2.173, 1.996, 2.257]"
MCL,5min,14,True,False,False,close_beyond,5,0.5,1,True,30,raw_wick,0.1,False,7,cross_50,65,30,0.75,False,0.5,opposite_level,1.5,420,900,3,-1,1229,31.16,1.773,774.27,0.63,52.68,0.1465,1.782,1.241,5,5,1.0,14.698,8.8294,"[1.656, 1.241, 2.334, 1.884, 1.793]"
MCL,3min,20,True,False,False,reversal_cross_back,1,0.5,8,True,3,fractal,0.3,False,14,overbought_oversold,65,35,0.5,False,1.5,reversal_to_open,3.0,570,690,2,0,575,32.0,0.518,-146.06,-0.254,149.63,0.113,0.527,0.424,5,0,0.0,-0.976,0.0,"[0.486, 0.697, 0.455, 0.424, 0.575]"
MCL,5min,20,False,True,False,close_beyond,1,1.0,20,True,30,fractal,0.2,True,21,overbought_oversold,65,35,0.2,False,1.0,opposite_level,2.5,570,750,999,1,383,17.23,0.766,-99.62,-0.2601,114.23,0.1227,0.766,0.593,5,0,0.0,-0.872,0.0,"[0.78, 0.748, 0.91, 0.798, 0.593]"
MCL,3min,30,False,True,True,immediate_break,2,1.0,1,True,13,fractal,0.3,True,7,overbought_oversold,70,30,0.75,True,1.0,reversal_to_open,2.0,180,630,5,-1,2904,48.97,2.705,2908.09,1.0014,28.09,0.0713,2.764,2.042,5,5,1.0,103.528,16.2833,"[2.654, 2.236, 3.758, 3.129, 2.042]"
MCL,5min,14,False,False,False,close_beyond,2,1.5,2,False,13,fractal,0.2,False,14,overbought_oversold,70,20,0.3,False,2.0,fixed_rr,1.5,180,690,1,0,468,44.02,0.586,-155.11,-0.3314,154.54,0.015,0.607,0.439,5,0,0.0,-1.004,0.0,"[0.716, 0.734, 0.688, 0.456, 0.439]"
MCL,5min,20,False,True,True,close_beyond,5,2.0,20,True,13,fractal,0.1,False,14,cross_50,65,20,1.0,True,2.0,reversal_to_open,2.0,570,630,999,1,1547,49.13,0.773,-111.57,-0.0721,115.57,0.4512,0.8,0.411,5,1,0.2,-0.965,0.6037,"[0.411, 1.107, 0.75, 0.902, 0.828]"
MCL,3min,20,True,True,False,reversal_cross_back,1,1.5,2,False,5,raw_wick,0.3,False,7,cross_50,65,25,0.75,False,1.5,reversal_to_open,3.0,180,750,3,-1,2205,43.13,2.673,2416.77,1.096,24.45,0.0254,2.692,2.376,5,5,1.0,98.845,18.2927,"[2.445, 2.376, 3.279, 2.859, 2.499]"
MCL,3min,30,True,False,False,reversal_cross_back,1,0.5,2,True,20,fractal,0.1,False,7,cross_50,65,20,1.0,True,1.0,fixed_rr,1.25,570,750,1,3,468,41.67,0.729,-75.41,-0.1611,77.42,0.1261,0.747,0.516,5,1,0.2,-0.974,0.6347,"[0.516, 0.718, 1.098, 0.758, 0.646]"
MCL,3min,20,False,False,False,immediate_break,5,2.0,13,True,3,raw_wick,0.5,False,7,overbought_oversold,70,35,0.2,False,2.0,reversal_to_open,1.25,300,660,2,1,577,27.56,2.086,686.93,1.1905,51.89,0.0312,2.072,1.656,5,5,1.0,13.238,10.5315,"[1.656, 2.004, 1.863, 2.293, 2.546]"
MCL,5min,20,True,False,False,close_beyond,2,1.0,5,False,20,fractal,0.2,False,21,overbought_oversold,75,20,0.75,True,1.0,reversal_to_open,4.0,420,750,5,-1,1043,46.98,3.004,1273.49,1.221,15.08,0.092,3.007,2.503,5,5,1.0,84.449,17.3979,"[3.114, 2.662, 3.092, 2.503, 3.663]"
MCL,3min,14,False,True,False,close_beyond,5,1.5,8,True,8,raw_wick,0.3,True,7,overbought_oversold,65,25,0.5,True,0.5,reversal_to_open,4.0,300,780,2,1,896,36.72,1.708,520.06,0.5804,32.99,0.0458,1.715,1.293,5,5,1.0,15.764,8.7912,"[1.293, 2.008, 2.352, 1.532, 1.39]"
MCL,5min,20,True,True,False,immediate_break,3,1.0,5,False,30,fractal,0.3,False,7,cross_50,80,35,0.1,True,2.0,reversal_to_open,1.0,180,690,2,1,1475,48.47,5.323,4968.34,3.3684,49.05,0.0027,5.535,3.917,5,5,1.0,101.291,28.5827,"[4.825, 6.889, 7.528, 3.917, 4.515]"
MCL,5min,20,True,False,True,reversal_cross_back,5,1.5,13,False,13,fractal,0.2,False,21,cross_50,70,20,0.5,True,1.5,reversal_to_open,1.5,300,900,3,1,1912,44.35,1.843,985.68,0.5155,29.97,0.0345,1.858,1.451,5,5,1.0,32.889,10.9644,"[1.451, 1.674, 2.11, 2.103, 1.953]"
