pool_row,asset,tf,tp_mode,search_score,search_pf,n_trades,split,is_pass_500,is_days_500,is_pass_750,is_days_750,is_pass_1000,is_days_1000,is_pass_1250,is_days_1250,is_pass_1500,is_days_1500,best_risk,is_pass,is_days_med,is_cohorts,oos_pass,oos_fail,oos_days_med,oos_days_p90,oos_cohorts,full_pass,full_days_med,target_raised%,capped%,avg_contracts
13141,MGC,5min,reversal_to_open,38.1688,5.62,3111,2024-04-30,69.7,23,65.4,19,67.0,18,63.8,17,63.3,17,500,69.7,23,188,85.6,12.0,19,44,125,76.0,19,79.9,19.3,27.0
6549,MGC,5min,reversal_to_open,35.634,4.524,5838,2024-04-30,71.3,17,66.5,15,64.9,12,63.8,15,62.8,15,500,71.3,17,188,84.0,13.6,15,32,125,76.4,16,82.1,30.4,30.8
15359,MGC,5min,reversal_to_open,34.0981,4.86,5154,2024-04-30,70.7,19,61.2,22,61.2,18,58.0,17,58.0,17,500,70.7,19,188,76.0,21.6,19,43,125,72.8,19,79.6,21.8,27.7
1409,MGC,5min,reversal_to_open,33.3489,5.06,3324,2024-04-30,77.1,18,69.1,18,68.1,18,64.4,18,63.8,18,500,77.1,18,188,85.6,12.0,17,33,125,80.5,18,82.1,10.0,23.1
15027,MGC,5min,opposite_level,33.1185,5.117,3604,2024-04-30,80.9,19,70.7,17,68.1,16,67.6,16,67.0,16,500,80.9,19,188,86.4,10.4,18,44,125,83.1,18,88.2,15.5,24.5
9043,MGC,3min,reversal_to_open,33.0897,5.259,2112,2024-04-30,89.9,39,82.4,36,79.3,32,75.0,32,75.5,32,500,89.9,39,188,91.2,0.8,36,58,125,90.4,37,92.0,0.8,9.5
14039,MGC,5min,opposite_level,32.2954,6.601,2891,2024-04-30,85.1,32,79.3,32,76.6,32,72.9,30,69.7,30,500,85.1,32,188,93.6,4.0,26,47,125,88.5,30,86.9,0.3,7.7
5809,MGC,5min,opposite_level,32.2411,5.878,2411,2024-04-30,87.8,31,81.9,31,72.9,26,69.1,26,68.1,25,500,87.8,31,188,96.0,2.4,24,44,125,91.1,26,90.1,1.0,8.8
10001,MGC,5min,reversal_to_open,32.1415,4.185,7613,2024-04-30,66.0,12,62.2,12,60.6,11,61.7,11,60.6,11,500,66.0,12,188,76.0,22.4,11,25,125,70.0,12,75.1,11.6,23.7
1447,MGC,3min,reversal_to_open,32.0164,5.044,3587,2024-04-30,85.1,26,78.2,25,71.8,24,68.6,23,67.6,23,500,85.1,26,188,92.0,4.8,19,43,125,87.9,24,87.5,0.0,10.6
19121,MGC,3min,reversal_to_open,31.9068,4.514,4555,2024-04-30,87.8,16,77.1,15,76.6,12,73.9,12,73.9,11,500,87.8,16,188,90.4,7.2,12,26,125,88.8,15,90.7,5.9,18.6
22915,MGC,5min,opposite_level,31.803,4.663,4523,2024-04-30,87.8,11,80.3,10,75.5,10,74.5,9,74.5,9,500,87.8,11,188,91.2,8.8,10,22,125,89.1,11,91.1,6.8,17.9
2983,MGC,5min,reversal_to_open,31.2771,4.654,3657,2024-04-30,73.9,24,68.1,18,67.6,17,64.9,17,64.9,16,500,73.9,24,188,85.6,11.2,17,33,125,78.6,19,82.7,14.2,24.7
14245,MGC,5min,reversal_to_open,31.2026,4.988,2538,2024-04-30,95.7,16,91.5,16,88.3,12,84.6,11,83.0,11,500,95.7,16,188,96.8,0.8,16,32,125,96.2,16,85.6,1.3,13.9
5247,MGC,5min,opposite_level,30.9734,6.276,1032,2024-04-30,76.6,85,69.1,79,64.9,71,64.4,68,63.8,60,500,76.6,85,188,76.8,11.2,75,148,125,76.7,81,82.7,7.2,17.4
7653,MGC,5min,reversal_to_open,30.8783,4.239,6087,2024-04-30,66.0,16,63.3,16,62.2,16,61.2,16,60.1,15,500,66.0,16,188,76.0,21.6,15,29,125,70.0,15,73.5,12.9,24.5
12023,MGC,3min,opposite_level,30.861,5.188,3671,2024-04-30,85.6,24,77.1,23,69.1,19,64.9,19,65.4,19,500,85.6,24,188,90.4,8.0,18,44,125,87.5,23,85.9,0.0,9.1
20869,MGC,5min,opposite_level,30.8342,4.708,3688,2024-04-30,79.3,18,72.9,16,68.6,16,65.4,16,66.5,12,500,79.3,18,188,81.6,16.0,12,33,125,80.2,16,84.0,11.3,23.4
12259,MGC,3min,opposite_level,30.3488,4.577,4571,2024-04-30,77.7,11,71.3,11,65.4,10,63.3,11,64.9,10,500,77.7,11,188,88.8,10.4,11,23,125,82.1,11,87.9,0.6,12.9
14883,MGC,5min,opposite_level,30.2063,4.848,4798,2024-04-30,77.1,15,70.7,12,68.6,12,64.9,12,63.8,11,500,77.1,15,188,90.4,8.0,12,26,125,82.4,12,86.9,2.4,16.8
17129,MGC,3min,reversal_to_open,30.0977,4.39,3037,2024-04-30,92.0,18,82.4,17,78.7,16,72.9,16,71.3,12,500,92.0,18,188,92.8,5.6,16,33,125,92.3,17,92.7,7.8,21.7
15763,MGC,5min,reversal_to_open,29.9495,4.758,2475,2024-04-30,80.9,24,77.7,24,76.1,23,74.5,23,74.5,23,500,80.9,24,188,76.8,19.2,19,40,125,79.2,23,86.3,37.4,33.8
4579,MGC,5min,reversal_to_open,29.9118,4.938,2454,2024-04-30,89.9,23,80.9,19,78.2,18,70.2,18,70.7,17,500,89.9,23,188,91.2,6.4,17,30,125,90.4,18,90.4,1.6,17.5
12937,MGC,5min,opposite_level,29.809,5.79,1782,2024-04-30,88.8,38,85.6,36,81.4,33,73.9,30,73.9,30,500,88.8,38,188,92.0,5.6,26,51,125,90.1,31,88.8,4.0,11.8
5781,MGC,5min,opposite_level,29.5937,4.415,3659,2024-04-30,72.9,22,66.5,19,63.8,19,63.3,19,63.3,18,500,72.9,22,188,74.4,21.6,18,38,125,73.5,19,80.5,32.0,31.3
21479,MGC,5min,reversal_to_open,29.3111,4.381,3772,2024-04-30,62.2,24,55.9,23,56.4,23,54.3,19,53.7,19,500,62.2,24,188,73.6,24.0,24,53,125,66.8,24,75.4,13.2,26.0
4449,MGC,5min,reversal_to_open,29.2684,4.198,4749,2024-04-30,73.9,16,68.6,16,67.6,15,64.9,15,64.9,16,500,73.9,16,188,87.2,10.4,16,32,125,79.2,16,85.0,17.8,25.6
19345,MGC,5min,reversal_to_open,29.1874,4.958,3350,2024-04-30,88.8,19,76.1,16,73.9,16,72.9,16,73.9,16,500,88.8,19,188,83.2,15.2,19,45,125,86.6,19,89.5,2.1,16.8
21425,MGC,5min,opposite_level,29.12,4.791,2456,2024-04-30,92.6,16,83.0,15,79.3,12,71.8,12,71.8,12,500,92.6,16,188,92.8,5.6,16,31,125,92.7,16,91.1,9.4,20.1
