asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
MGC,3min,30,True,False,False,reversal_cross_back,2,0.5,2,False,5,raw_wick,0.2,False,7,overbought_oversold,65,20,0.2,False,0.5,opposite_level,3.0,300,690,3,0,775,25.55,1.273,218.31,0.2817,69.27,0.1613,1.282,0.999,5,4,0.8,3.152,5.318,"[1.549, 0.999, 1.005, 1.512, 1.346]"
MGC,5min,14,False,True,True,reversal_cross_back,5,2.0,1,False,8,raw_wick,0.2,True,14,overbought_oversold,65,20,0.1,False,1.0,reversal_to_open,4.0,420,900,3,4,771,28.15,0.921,-64.33,-0.0834,169.58,0.0402,0.925,0.569,5,1,0.2,-0.379,0.7567,"[0.955, 1.414, 0.569, 0.751, 0.936]"
MGC,3min,30,False,True,True,reversal_cross_back,3,1.0,5,True,3,raw_wick,0.1,False,7,cross_50,70,25,0.3,False,1.5,reversal_to_open,1.5,180,780,1,4,743,44.41,3.137,993.19,1.3367,26.62,0.0027,3.214,1.819,5,5,1.0,37.31,12.0273,"[2.334, 4.066, 4.655, 1.819, 3.195]"
MGC,5min,14,False,False,False,close_beyond,1,2.0,20,False,8,raw_wick,0.0,False,21,overbought_oversold,80,35,0.5,True,1.0,opposite_level,1.5,420,840,3,2,429,41.03,1.428,138.0,0.3217,19.54,0.1072,1.441,1.248,5,5,1.0,7.062,7.5676,"[1.562, 1.248, 1.515, 1.458, 1.421]"
MGC,5min,20,False,True,False,break_of_structure,2,1.0,8,False,3,raw_wick,0.0,False,21,cross_50,70,35,0.1,False,0.5,reversal_to_open,2.0,300,690,5,1,927,42.07,3.56,1317.03,1.4207,22.82,0.014,3.53,1.745,5,5,1.0,57.714,11.9236,"[2.054, 5.292, 1.745, 4.467, 4.092]"
MGC,3min,14,True,True,True,reversal_cross_back,2,1.5,2,True,13,raw_wick,0.2,False,14,overbought_oversold,80,30,0.5,False,0.5,fixed_rr,1.5,180,750,1,3,737,50.07,1.038,17.27,0.0234,57.48,0.0054,1.085,0.622,5,3,0.6,0.3,2.4646,"[1.128, 0.964, 1.596, 0.622, 1.115]"
MGC,3min,30,True,True,True,immediate_break,5,1.5,8,False,8,raw_wick,0.2,False,7,cross_50,65,20,0.3,True,2.0,opposite_level,2.0,570,780,2,0,1372,34.62,0.729,-278.98,-0.2033,301.64,0.0948,0.733,0.532,5,0,0.0,-0.925,0.0,"[0.803, 0.532, 0.697, 0.983, 0.649]"
MGC,3min,14,True,False,True,immediate_break,1,2.0,20,True,13,fractal,0.0,False,14,overbought_oversold,70,25,0.3,False,2.0,opposite_level,2.5,420,660,999,1,3563,27.45,1.35,1211.42,0.34,143.47,0.1734,1.352,0.891,5,4,0.8,8.444,5.8297,"[1.556, 1.448, 1.365, 1.501, 0.891]"
MGC,5min,20,False,True,True,reversal_cross_back,1,1.0,13,False,5,fractal,0.1,False,7,overbought_oversold,80,25,0.1,True,1.0,reversal_to_open,1.25,570,960,1,1,684,21.05,0.509,-245.65,-0.3591,253.08,0.0044,0.518,0.333,5,0,0.0,-0.971,0.0,"[0.603, 0.645, 0.57, 0.439, 0.333]"
MGC,5min,14,True,True,False,reversal_cross_back,2,1.0,1,False,5,raw_wick,0.0,False,21,cross_50,65,25,0.1,True,0.5,reversal_to_open,3.0,180,900,3,4,1834,40.73,2.661,2536.26,1.3829,37.94,0.0164,2.695,2.246,5,5,1.0,66.849,16.8782,"[3.206, 2.269, 3.195, 2.246, 2.557]"
MGC,3min,20,True,True,True,break_of_structure,2,1.0,8,False,3,fractal,0.0,False,21,overbought_oversold,75,35,0.3,False,2.0,opposite_level,1.5,180,840,1,4,700,41.71,2.095,590.76,0.8439,25.09,0.0529,2.143,1.206,5,5,1.0,23.546,7.9023,"[1.206, 2.59, 2.581, 1.604, 2.734]"
MGC,3min,30,True,False,True,reversal_cross_back,1,1.0,2,True,30,fractal,0.3,True,7,overbought_oversold,70,30,0.5,False,1.0,fixed_rr,4.0,180,780,3,0,646,29.72,1.014,7.57,0.0117,78.8,0.1347,1.019,0.744,5,3,0.6,0.096,2.8893,"[1.161, 0.808, 0.744, 1.1, 1.284]"
MGC,5min,14,False,False,False,reversal_cross_back,1,1.0,8,False,8,raw_wick,0.1,False,7,overbought_oversold,65,20,0.1,False,2.0,opposite_level,1.5,570,780,1,0,377,26.53,0.624,-137.85,-0.3656,183.61,0.1618,0.744,0.268,5,1,0.2,-0.751,0.3181,"[1.811, 0.268, 0.392, 0.694, 0.556]"
MGC,5min,14,False,True,True,reversal_cross_back,2,0.75,2,True,3,fractal,0.5,False,21,cross_50,80,25,1.0,False,0.5,opposite_level,2.0,180,900,3,-1,2711,54.56,2.748,2369.75,0.8741,21.82,0.0937,2.832,2.006,5,5,1.0,108.604,15.8583,"[3.481, 2.754, 3.722, 2.006, 2.196]"
